name,# Samples,# Numeric Features,# Binary \ Categorical Features,Class Type,Tree Size,Accuracy on Test Set
acute-inflammation,120,6,0,B,9,100%
acute-nephritis,120,7,0,B,5,96%
analcatdata_boxing1,120,1,2,B,21,78%
analcatdata_lawsuit,264,4,0,B,13,100%
annealing,898,31,0,C,51,93%
ar4,107,29,0,B,17,75%
audiology-std,196,59,0,C,19,87%
bank,4521,16,0,B,17,92%
baseball,1340,15,1,C,5,93%
blood,748,4,0,B,11,80%
bodyfat,252,14,0,B,3,98%
braziltourism,412,1,7,C,7,75%
breast-cancer-wisc-diag,569,30,0,B,7,89%
breast-cancer-wisc,699,9,0,B,19,92%
car,1728,6,0,C,55,92%
caradiotocography10clases,2126,21,0,C,45,84%
cardiotocography3clases,2126,21,0,C,23,93%
chatfield_4,235,12,0,B,17,85%
chscase_vine1,52,9,0,B,7,100%
credit-approval,690,15,0,B,3,85%
dermatology,366,34,0,C,13,92%
diggle_table_a2,310,8,0,B,3,100%
echocardiogram,131,10,0,B,3,92%
ecoli,336,7,0,C,5,77%
elusage,55,2,0,B,7,90%
energy-y1,768,8,0,C,19,94%
energy-y2,768,8,0,C,15,95%
fertility,100,9,0,B,1,79%
heart-hungarian,294,12,0,B,29,89%
hepatitis,155,19,0,B,11,80%
horse-colic,368,25,0,B,13,83%
image-segmentation,2310,18,0,C,51,95%
ionosphere,351,33,0,B,17,87%
iris,150,4,0,C,9,90%
kc3,458,39,0,B,5,87%
kidney,76,4,2,B,9,93%
low-res-spect,531,100,0,C,19,81%
lowbwt,189,9,0,B,3,89%
mammographic,961,5,0,B,5,82%
meta,528,19,2,B,1,87%
mfeat-karhunen,2000,64,0,C,57,76%
mfeat-morphological,2000,6,0,B,11,100%
molec-biol-splice,3190,60,0,C,55,93%
monks-1,556,6,0,B,29,77%
monks-3,554,6,0,B,5,92%
newton_hema,140,2,1,B,17,85%
oocytes_merluccius_states_2f,1022,25,0,C,13,85%
oocytes_trisopterus_states_5b,912,32,0,C,15,90%
ozone,2536,72,0,B,1,97%
parkinsons,195,22,0,B,11,82%
pittsburg-bridges-MATERIAL,106,7,0,C,13,80%
pittsburg-bridges-T-OR-D_R,102,7,0,B,25,79%
prnn_synth,250,2,0,B,3,88%
rabe_131,50,5,0,B,3,100%
schlvote,38,5,0,B,3,83%
seeds,210,7,0,C,15,95%
socmob,1156,1,4,B,29,94%
solar-flare,1066,9,3,C,1,99%
soybean,683,35,0,C,57,84%
spect,265,22,0,B,5,77%
spectf,267,44,0,B,5,83%
squash-unstored,52,22,1,C,3,100%
statlog-image,2310,18,0,C,51,96%
synthetic-control,600,60,0,C,41,78%
tic-tac-toe,958,9,0,B,51,94%
transplant,131,2,0,B,3,92%
vertebral-column-2clases,310,6,0,B,15,77%
vertebral-column-3clases,310,6,0,C,13,82%
visualizing_livestock,130,0,2,B,5,96%
vote,435,0,16,B,19,97%
wall-following,5456,24,0,C,33,99%
wine,178,13,0,C,11,88%
zoo,101,16,0,C,13,95%
