Name,Name,# Samples,# Numeric,# Binary \ Categorical,Class Type,Tree Size,Accuracy - Test Set
schlvote,Schlvote,38,5,0,B,3,83%
rabe_131,Rabe_131,50,5,0,B,3,100%
chscase_vine1,Chscase_Vine1,52,9,0,B,7,100%
squash-unstored,Squash-Unstored,52,22,1,C,3,100%
elusage,Elusage,55,2,0,B,7,90%
kidney,Kidney,76,4,2,B,9,93%
fertility,Fertility,100,9,0,B,1,79%
zoo,Zoo,101,16,0,C,13,95%
pittsburg-bridges-T-OR-D_R,Pittsburg-Bridges-T-Or-D_R,102,7,0,B,25,79%
pittsburg-bridges-MATERIAL,Pittsburg-Bridges-Material,106,7,0,C,13,80%
ar4,Ar4,107,29,0,B,17,75%
acute-inflammation,Acute-Inflammation,120,6,0,B,9,100%
acute-nephritis,Acute-Nephritis,120,7,0,B,5,96%
analcatdata_boxing1,Analcatdata_Boxing1,120,1,2,B,21,78%
visualizing_livestock,Visualizing_Livestock,130,0,2,B,5,96%
echocardiogram,Echocardiogram,131,10,0,B,3,92%
transplant,Transplant,131,2,0,B,3,92%
newton_hema,Newton_Hema,140,2,1,B,17,85%
iris,Iris,150,4,0,C,9,90%
hepatitis,Hepatitis,155,19,0,B,11,80%
wine,Wine,178,13,0,C,11,88%
lowbwt,Lowbwt,189,9,0,B,3,89%
parkinsons,Parkinsons,195,22,0,B,11,82%
audiology-std,Audiology-Std,196,59,0,C,19,87%
seeds,Seeds,210,7,0,C,15,95%
chatfield_4,Chatfield_4,235,12,0,B,17,85%
prnn_synth,Prnn_Synth,250,2,0,B,3,88%
bodyfat,Bodyfat,252,14,0,B,3,98%
analcatdata_lawsuit,Analcatdata_Lawsuit,264,4,0,B,13,100%
spect,Spect,265,22,0,B,5,77%
spectf,Spectf,267,44,0,B,5,83%
heart-hungarian,Heart-Hungarian,294,12,0,B,29,89%
diggle_table_a2,Diggle_Table_A2,310,8,0,B,3,100%
vertebral-column-2clases,Vertebral-Column-2Clases,310,6,0,B,15,77%
vertebral-column-3clases,Vertebral-Column-3Clases,310,6,0,C,13,82%
ecoli,Ecoli,336,7,0,C,5,77%
ionosphere,Ionosphere,351,33,0,B,17,87%
dermatology,Dermatology,366,34,0,C,13,92%
horse-colic,Horse-Colic,368,25,0,B,13,83%
braziltourism,Braziltourism,412,1,7,C,7,75%
vote,Vote,435,0,16,B,19,97%
kc3,Kc3,458,39,0,B,5,87%
meta,Meta,528,19,2,B,1,87%
low-res-spect,Low-Res-Spect,531,100,0,C,19,81%
monks-3,Monks-3,554,6,0,B,5,92%
monks-1,Monks-1,556,6,0,B,29,77%
breast-cancer-wisc-diag,Breast-Cancer-Wisc-Diag,569,30,0,B,7,89%
synthetic-control,Synthetic-Control,600,60,0,C,41,78%
soybean,Soybean,683,35,0,C,57,84%
credit-approval,Credit-Approval,690,15,0,B,3,85%
breast-cancer-wisc,Breast-Cancer-Wisc,699,9,0,B,19,92%
blood,Blood,748,4,0,B,11,80%
energy-y1,Energy-Y1,768,8,0,C,19,94%
energy-y2,Energy-Y2,768,8,0,C,15,95%
annealing,Annealing,898,31,0,C,51,93%
oocytes_trisopterus_states_5b,Oocytes_Trisopterus_States_5B,912,32,0,C,15,90%
tic-tac-toe,Tic-Tac-Toe,958,9,0,B,51,94%
mammographic,Mammographic,961,5,0,B,5,82%
oocytes_merluccius_states_2f,Oocytes_Merluccius_States_2F,1022,25,0,C,13,85%
solar-flare,Solar-Flare,1066,9,3,C,1,99%
socmob,Socmob,1156,1,4,B,29,94%
baseball,Baseball,1340,15,1,C,5,93%
car,Car,1728,6,0,C,55,92%
mfeat-karhunen,Mfeat-Karhunen,2000,64,0,C,57,76%
mfeat-morphological,Mfeat-Morphological,2000,6,0,B,11,100%
caradiotocography10clases,Caradiotocography10Clases,2126,21,0,C,45,84%
cardiotocography3clases,Cardiotocography3Clases,2126,21,0,C,23,93%
image-segmentation,Image-Segmentation,2310,18,0,C,51,95%
statlog-image,Statlog-Image,2310,18,0,C,51,96%
ozone,Ozone,2536,72,0,B,1,97%
molec-biol-splice,Molec-Biol-Splice,3190,60,0,C,55,93%
bank,Bank,4521,16,0,B,17,92%
wall-following,Wall-Following,5456,24,0,C,33,99%
,,,,,,,
,Min,38,,,,,
,1Q,145,,,,,
,median,351,,,,,
,3Q,905,,,,,
,max,5456,,,,,
,,,,,,,
,Avereage,750.6438356,,,,,
