,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2008,7.2,0.15,0.39,-3.272057784014864,0.043,21.0,159.0,0.9948,3.52,0.47,8.769379432242681,5
2011,7.2,0.15,0.39,-3.272057784014864,0.043,21.0,159.0,0.9948,3.52,0.47,8.769379432242681,5
2012,6.8,0.18,0.46,-3.672057784014864,0.064,37.0,160.0,0.9924,3.37,0.45,9.869379432242681,5
2018,7.0,0.2,0.34,-2.9720577840148636,0.049,12.0,136.0,0.9922,3.25,0.46,10.369379432242681,7
2021,6.3,0.21,0.28,-3.5720577840148637,0.051,46.0,142.0,0.9928,3.23,0.42,8.869379432242681,6
2023,6.3,0.21,0.28,-3.5720577840148637,0.051,46.0,142.0,0.9928,3.23,0.42,8.869379432242681,6
2025,7.5,0.3,0.71,-3.772057784014864,0.16,44.0,149.0,0.9948,3.08,0.42,7.669379432242682,5
2028,8.9,0.21,0.34,2.027942215985136,0.037000000000000005,33.0,150.0,0.9962,3.1,0.45,8.46937943224268,6
2031,7.6,0.29,0.26,1.4279422159851363,0.042,32.0,160.0,0.9944,3.14,0.47,9.46937943224268,5
2033,7.2,0.23,0.33,7.6279422159851356,0.049,50.0,183.0,0.9987,3.41,0.4,8.569379432242682,5
2035,8.8,0.2,0.28,-3.9720577840148636,0.018000000000000002,18.0,72.0,0.9926,2.97,0.35,9.169379432242682,5
2036,5.7,0.27,0.32,-3.8720577840148636,0.046,20.0,155.0,0.9934,3.8,0.41,8.96937943224268,6
2037,7.6,0.29,0.26,1.4279422159851363,0.042,32.0,160.0,0.9944,3.14,0.47,9.46937943224268,5
2038,5.5,0.14,0.27,-0.4720577840148641,0.028999999999999998,22.0,104.0,0.9949,3.34,0.44,7.7693794322426815,5
2039,8.7,0.24,0.35,-4.472057784014864,0.042,11.0,71.0,0.9926,3.08,0.38,9.369379432242681,5
2041,5.5,0.14,0.27,-0.4720577840148641,0.028999999999999998,22.0,104.0,0.9949,3.34,0.44,7.7693794322426815,5
2042,5.6,0.13,0.27,-0.2720577840148639,0.027999999999999997,22.0,104.0,0.9948,3.34,0.45,7.969379432242681,6
2045,8.7,0.24,0.35,-4.472057784014864,0.042,11.0,71.0,0.9926,3.08,0.38,9.369379432242681,5
2055,7.3,0.29,0.29,-0.4720577840148641,0.028999999999999998,27.0,155.0,0.9931,3.07,0.26,9.369379432242681,6
2058,7.3,0.29,0.37,3.227942215985137,0.044000000000000004,45.0,227.0,0.9966,3.12,0.47,7.7693794322426815,5
2061,6.7,0.23,0.33,-3.272057784014864,0.036000000000000004,23.0,96.0,0.9925,3.32,0.4,9.569379432242682,6
