,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2013,6.6,0.32,0.22,14.163971107992568,0.046,38.0,133.0,0.9979,3.22,0.67,9.169379432242682,6
2019,6.6,0.32,0.22,14.163971107992568,0.046,38.0,133.0,0.9979,3.22,0.67,9.169379432242682,6
2022,7.6,0.34,0.39,5.063971107992568,0.04,45.0,215.0,0.9965,3.11,0.53,7.969379432242681,6
2027,6.9,0.32,0.15,5.563971107992568,0.046,51.0,180.0,0.9958,3.13,0.45,7.669379432242682,5
2029,7.6,0.34,0.39,5.063971107992568,0.04,45.0,215.0,0.9965,3.11,0.53,7.969379432242681,6
2044,5.7,0.385,0.04,10.063971107992568,0.034,22.0,115.0,0.9964,3.28,0.63,8.669379432242682,6
2047,6.8,0.34,0.44,4.063971107992568,0.052000000000000005,28.0,156.0,0.9955,3.14,0.41,8.369379432242681,5
2048,6.8,0.33,0.44,4.463971107992569,0.05,29.0,155.0,0.9955,3.14,0.42,8.269379432242681,5
2070,7.3,0.34,0.3,-1.2360288920074318,0.057,25.0,173.0,0.9948,3.26,0.51,7.869379432242681,6
2076,6.8,0.36,0.32,-0.9360288920074318,0.039,10.0,124.0,0.9948,3.3,0.67,8.369379432242681,5
2079,7.4,0.45,0.32,4.563971107992568,0.044000000000000004,17.0,117.0,0.9962,3.32,0.41,9.169379432242682,4
2080,6.8,0.36,0.32,-0.9360288920074318,0.039,10.0,124.0,0.9948,3.3,0.67,8.369379432242681,5
2081,7.5,0.42,0.14,8.163971107992568,0.046,18.0,95.0,0.9959,3.22,0.33,9.46937943224268,5
2082,7.5,0.33,0.32,8.563971107992568,0.036000000000000004,25.0,119.0,0.9962,3.15,0.34,9.269379432242681,6
2096,6.8,0.32,0.34,3.463971107992568,0.05,5.0,129.0,0.9953,3.19,0.4,7.869379432242681,5
2102,6.2,0.34,0.3,8.563971107992568,0.047,28.0,237.0,0.9981,3.18,0.49,7.469379432242681,5
2105,6.8,0.32,0.34,3.463971107992568,0.05,5.0,129.0,0.9953,3.19,0.4,7.869379432242681,5
2126,6.5,0.43,0.28,9.463971107992569,0.055999999999999994,23.0,174.0,0.9986,3.31,0.55,8.069379432242682,5
2127,9.1,0.33,0.38,-0.8360288920074319,0.062,50.5,344.0,0.9958,3.1,0.7,8.269379432242681,5
2165,7.0,0.35,0.31,-0.7360288920074318,0.069,15.0,162.0,0.9944,3.18,0.47,8.169379432242682,5
2166,7.0,0.35,0.31,-0.7360288920074318,0.069,15.0,162.0,0.9944,3.18,0.47,8.169379432242682,5
2172,6.9,0.32,0.13,5.2639711079925675,0.042,11.0,117.0,0.996,3.23,0.37,7.969379432242681,5
2173,7.6,0.32,0.58,14.213971107992569,0.05,43.0,163.0,0.9999,3.15,0.54,7.969379432242681,5
2176,6.9,0.32,0.13,5.2639711079925675,0.042,11.0,117.0,0.996,3.23,0.37,7.969379432242681,5
2177,6.0,0.34,0.24,2.8639711079925685,0.06,23.0,126.0,0.9951,3.25,0.44,7.7693794322426815,7
2178,7.6,0.32,0.58,14.213971107992569,0.05,43.0,163.0,0.9999,3.15,0.54,7.969379432242681,5
2182,6.6,0.32,0.27,8.363971107992569,0.040999999999999995,37.0,146.0,0.9963,3.24,0.47,8.769379432242681,5
2184,6.4,0.33,0.24,7.263971107992569,0.040999999999999995,29.0,109.0,0.9956,3.29,0.47,8.869379432242681,6
2205,7.7,0.39,0.34,7.463971107992569,0.055999999999999994,35.0,178.0,0.9974,3.26,0.6,8.96937943224268,5
2235,6.9,0.44,0.42,5.963971107992569,0.048,10.0,147.0,0.9974,3.32,0.46,8.269379432242681,6
2237,6.4,0.34,0.2,12.363971107992569,0.06,37.0,162.0,0.9983,3.13,0.45,7.7693794322426815,4
2239,6.9,0.44,0.42,5.963971107992569,0.048,10.0,147.0,0.9974,3.32,0.46,8.269379432242681,6
2244,7.0,0.36,0.14,9.063971107992568,0.043,35.0,228.0,0.9977,3.13,0.51,7.669379432242682,5
2245,7.5,0.31,0.24,4.563971107992568,0.031,28.0,141.0,0.99397,3.16,0.38,9.369379432242681,7
2246,6.4,0.34,0.2,12.363971107992569,0.06,37.0,162.0,0.9983,3.13,0.45,7.7693794322426815,4
2257,7.2,0.39,0.54,-1.136028892007432,0.157,34.0,132.0,0.99449,3.11,0.53,7.7693794322426815,6
2258,7.6,0.48,0.28,7.863971107992569,0.049,57.0,205.0,0.9974799999999999,3.24,0.45,8.069379432242682,5
2259,7.2,0.39,0.54,-1.136028892007432,0.157,34.0,132.0,0.99449,3.11,0.53,7.7693794322426815,6
2260,7.6,0.48,0.28,7.863971107992569,0.049,57.0,205.0,0.9974799999999999,3.24,0.45,8.069379432242682,5
2261,6.5,0.36,0.31,1.5639711079925678,0.061,20.0,134.0,0.99475,3.18,0.45,7.7693794322426815,6
2276,6.7,0.31,0.18,5.163971107992568,0.043,57.0,200.0,0.99566,3.17,0.44,8.169379432242682,6
2278,6.7,0.31,0.18,5.163971107992568,0.043,57.0,200.0,0.99566,3.17,0.44,8.169379432242682,6
2286,6.6,0.41,0.24,2.3639711079925685,0.158,47.0,144.0,0.99471,3.17,0.49,8.169379432242682,5
2287,6.7,0.43,0.23,2.463971107992568,0.157,49.0,145.0,0.99471,3.17,0.49,8.169379432242682,5
2295,7.5,0.42,0.19,4.363971107992569,0.040999999999999995,62.0,150.0,0.99508,3.23,0.37,8.769379432242681,6
2303,6.9,0.44,0.18,9.26397110799257,0.051,26.0,126.0,0.9975,3.23,0.48,7.869379432242681,5
2326,6.9,0.35,0.55,9.413971107992568,0.038,22.0,111.0,0.99687,3.11,0.29,8.46937943224268,5
2328,6.9,0.35,0.55,9.413971107992568,0.038,22.0,111.0,0.99687,3.11,0.29,8.46937943224268,5
2330,7.5,0.38,0.29,10.163971107992568,0.05,25.0,209.0,0.9986,3.25,0.59,8.069379432242682,6
2356,7.1,0.34,0.32,-0.5360288920074319,0.051,29.0,130.0,0.99354,3.3,0.5,9.169379432242682,6
2365,7.6,0.32,0.35,-0.9360288920074318,0.092,24.0,138.0,0.9943799999999999,3.19,0.44,8.569379432242682,5
2366,7.4,0.33,0.44,5.063971107992568,0.05,40.0,227.0,0.99679,3.12,0.52,7.7693794322426815,5
2368,7.4,0.34,0.3,12.363971107992569,0.037000000000000005,70.0,169.0,0.99698,3.25,0.37,9.169379432242682,6
2371,6.2,0.45,0.73,4.663971107992568,0.099,47.0,202.0,0.99582,3.21,0.43,7.969379432242681,5
2427,8.1,0.34,0.28,4.963971107992569,0.04,70.0,230.0,0.9955799999999999,3.14,0.55,8.569379432242682,6
2429,8.1,0.34,0.28,4.963971107992569,0.04,70.0,230.0,0.9955799999999999,3.14,0.55,8.569379432242682,6
2433,7.4,0.35,0.2,11.363971107992569,0.054000000000000006,63.0,229.0,0.9988799999999999,3.11,0.5,7.669379432242682,6
2435,6.4,0.35,0.35,3.0639711079925678,0.034,9.0,148.0,0.99441,3.17,0.5,8.569379432242682,4
2436,6.9,0.43,0.28,6.863971107992569,0.055999999999999994,29.0,183.0,0.9959399999999999,3.17,0.43,8.169379432242682,5
2438,6.9,0.43,0.28,6.863971107992569,0.055999999999999994,29.0,183.0,0.9959399999999999,3.17,0.43,8.169379432242682,5
2440,6.8,0.46,0.26,3.763971107992568,0.147,49.0,159.0,0.99434,3.14,0.47,8.769379432242681,5
2450,6.6,0.56,0.15,7.463971107992569,0.037000000000000005,38.0,157.0,0.9964200000000001,3.28,0.52,8.169379432242682,5
2451,6.6,0.56,0.15,7.463971107992569,0.037000000000000005,38.0,157.0,0.9964200000000001,3.28,0.52,8.169379432242682,5
2456,8.1,0.33,0.36,4.863971107992569,0.037000000000000005,36.0,156.0,0.99592,3.19,0.54,9.369379432242681,6
2457,8.1,0.33,0.36,4.863971107992569,0.037000000000000005,36.0,156.0,0.99592,3.19,0.54,9.369379432242681,6
2469,6.8,0.34,0.1,-1.136028892007432,0.049,29.0,118.0,0.9936,3.21,0.41,8.269379432242681,5
2475,7.4,0.56,0.09,-1.0360288920074319,0.071,19.0,117.0,0.9949600000000001,3.22,0.53,8.569379432242682,5
2481,6.4,0.37,0.37,2.3139711079925678,0.040999999999999995,39.5,216.5,0.9943200000000001,3.1,0.5,8.569379432242682,6
2490,7.7,0.39,0.49,5.163971107992568,0.036000000000000004,11.0,110.0,0.9966,3.33,0.76,8.769379432242681,6
2493,7.6,0.31,0.23,10.163971107992568,0.054000000000000006,20.0,139.0,0.99836,3.16,0.5,8.46937943224268,4
2494,7.6,0.31,0.23,10.163971107992568,0.054000000000000006,20.0,139.0,0.99836,3.16,0.5,8.46937943224268,4
2501,6.4,0.31,0.4,3.8639711079925685,0.039,39.0,191.0,0.99513,3.14,0.52,8.569379432242682,5
2502,8.6,0.34,0.36,-1.136028892007432,0.045,11.0,119.0,0.99556,3.17,0.47,8.169379432242682,4
