,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2009,8.0,0.4,0.33,12.772057784014864,0.034,27.0,98.0,0.9935,3.18,0.41,10.96937943224268,7
2016,6.3,0.41,0.33,9.772057784014864,0.023,28.0,110.0,0.991,3.3,0.38,11.269379432242681,7
2053,8.6,0.485,0.29,9.172057784014864,0.026000000000000002,19.0,101.0,0.9918,3.01,0.38,11.169379432242682,5
2054,8.6,0.485,0.29,9.172057784014864,0.026000000000000002,19.0,101.0,0.9918,3.01,0.38,11.169379432242682,5
2057,6.7,0.31,0.31,9.972057784014865,0.031,20.0,151.0,0.9926,3.36,0.82,10.769379432242681,7
2069,7.1,0.33,0.25,6.672057784014864,0.03,25.0,126.0,0.9901,3.22,0.34,10.869379432242681,7
2101,6.8,0.28,0.35,7.372057784014864,0.042,16.0,85.0,0.9906,3.19,0.56,11.169379432242682,6
2118,6.4,0.2,0.32,8.172057784014864,0.040999999999999995,18.0,126.0,0.9914,3.43,0.42,10.769379432242681,6
2121,7.7,0.39,0.28,9.972057784014865,0.035,36.0,109.0,0.9918,3.19,0.58,10.96937943224268,7
2124,7.7,0.39,0.28,9.972057784014865,0.035,36.0,109.0,0.9918,3.19,0.58,10.96937943224268,7
2133,8.3,0.24,0.27,7.172057784014864,0.03,22.0,162.0,0.9914,2.99,0.68,10.669379432242682,6
2150,7.0,0.24,0.34,8.072057784014863,0.035,36.0,102.0,0.9905,3.18,0.43,10.96937943224268,6
2157,8.5,0.25,0.27,9.772057784014864,0.031,31.0,92.0,0.9922,3.01,0.33,10.769379432242681,6
2159,6.3,0.24,0.37,6.872057784014864,0.031,6.0,61.0,0.9897,3.3,0.34,10.96937943224268,4
2161,6.8,0.37,0.28,9.072057784014863,0.03,29.0,79.0,0.99,3.23,0.46,11.169379432242682,7
2163,8.5,0.25,0.27,9.772057784014864,0.031,31.0,92.0,0.9922,3.01,0.33,10.769379432242681,6
2190,7.6,0.27,0.42,7.672057784014864,0.044000000000000004,29.0,110.0,0.9912,3.31,0.51,11.46937943224268,6
2206,8.9,0.24,0.33,20.822057784014863,0.035,16.0,132.0,0.996,3.0,0.37,10.869379432242681,6
2209,7.0,0.32,0.35,6.572057784014864,0.039,24.0,125.0,0.9918,3.17,0.64,10.96937943224268,6
2212,7.0,0.32,0.35,6.572057784014864,0.039,24.0,125.0,0.9918,3.17,0.64,10.96937943224268,6
2219,6.5,0.24,0.36,7.272057784014864,0.027000000000000003,36.0,134.0,0.9898,3.28,0.36,11.269379432242681,7
2289,7.3,0.4,0.28,11.572057784014863,0.037000000000000005,26.0,97.0,0.9914799999999999,3.16,0.58,11.369379432242681,7
2293,7.3,0.4,0.28,11.572057784014863,0.037000000000000005,26.0,97.0,0.9914799999999999,3.16,0.58,11.369379432242681,7
2294,7.0,0.32,0.31,11.472057784014865,0.031,38.0,115.0,0.99235,3.38,0.58,10.96937943224268,7
2298,6.3,0.41,0.18,8.572057784014863,0.027000000000000003,23.0,109.0,0.99018,3.34,0.54,11.569379432242682,8
2299,7.0,0.32,0.31,11.472057784014865,0.031,38.0,115.0,0.99235,3.38,0.58,10.96937943224268,7
2300,7.3,0.3,0.33,7.372057784014864,0.043,28.0,125.0,0.9908399999999999,3.34,0.44,11.369379432242681,7
2305,7.0,0.36,0.3,10.072057784014863,0.04,40.0,143.0,0.9917299999999999,3.33,0.42,10.96937943224268,7
2311,7.0,0.22,0.26,7.872057784014864,0.036000000000000004,44.0,132.0,0.9907799999999999,3.34,0.41,10.769379432242681,7
2313,6.8,0.32,0.3,8.372057784014864,0.028999999999999998,15.0,80.0,0.99061,3.33,0.63,11.369379432242681,7
2314,7.0,0.19,0.33,11.372057784014864,0.032,42.0,127.0,0.99182,3.31,0.38,10.96937943224268,6
2316,7.4,0.2,0.31,6.672057784014864,0.038,34.0,116.0,0.9912,3.25,0.39,10.769379432242681,7
2319,6.6,0.4,0.32,6.772057784014864,0.035,39.0,84.0,0.9909600000000001,3.59,0.48,11.46937943224268,7
2333,6.8,0.37,0.28,6.972057784014863,0.024,64.0,106.0,0.98993,3.45,0.6,11.369379432242681,8
2342,7.7,0.4,0.27,9.572057784014863,0.034,27.0,95.0,0.99175,3.21,0.59,11.069379432242682,8
2348,8.3,0.26,0.31,7.072057784014864,0.028999999999999998,14.0,141.0,0.99077,2.95,0.77,10.96937943224268,6
2355,7.6,0.48,0.33,12.072057784014863,0.024,14.0,130.0,0.9918,3.25,0.45,11.269379432242681,7
2374,7.2,0.2,0.3,7.072057784014864,0.039,43.0,188.0,0.9911,3.3,0.41,10.769379432242681,6
2375,7.0,0.32,0.29,9.972057784014865,0.036000000000000004,41.0,150.0,0.9916799999999999,3.38,0.43,10.96937943224268,6
2376,7.2,0.2,0.3,7.072057784014864,0.039,43.0,188.0,0.9911,3.3,0.41,10.769379432242681,6
2389,6.8,0.46,0.26,7.772057784014864,0.042,28.0,83.0,0.9911399999999999,3.38,0.51,10.769379432242681,8
2398,8.0,0.36,0.39,6.672057784014864,0.024,26.0,93.0,0.99116,3.15,0.49,10.669379432242682,6
