drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
acute-inflammation__NumericFeature[f6;-2std],7,33.333333333333336,3,f6,12.5
acute-inflammation__NumericFeature[f6;-1std],7,33.333333333333336,3,f6,12.5
acute-inflammation__NumericFeature[f6;-0.5std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f6;+0.5std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f6;+1std],7,0.0,5,,0.0
acute-inflammation__NumericFeature[f6;+2std],7,0.0,5,,0.0
acute-inflammation__NumericFeature[f5;-2std],7,25.0,6,,0.0
acute-inflammation__NumericFeature[f5;-1std],7,25.0,6,,0.0
acute-inflammation__NumericFeature[f5;-0.5std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f5;+0.5std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f5;+1std],7,33.333333333333336,2,f5,12.5
acute-inflammation__NumericFeature[f5;+2std],7,33.333333333333336,2,f5,12.5
acute-inflammation__NumericFeature[f4;-2std],7,50.0,0,f4,54.16666666666667
acute-inflammation__NumericFeature[f4;-1std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f4;-0.5std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f4;+0.5std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f4;+1std],7,0.0,5,,-4.1666666666666625
acute-inflammation__NumericFeature[f4;+2std],7,16.666666666666664,5,,20.833333333333336
acute-nephritis__NumericFeature[f3;-2std],5,33.333333333333336,2,f3,41.666666666666664
acute-nephritis__NumericFeature[f3;-1std],5,33.333333333333336,2,f3,41.666666666666664
acute-nephritis__NumericFeature[f3;-0.5std],5,0.0,3,,0.0
acute-nephritis__NumericFeature[f3;+0.5std],5,0.0,3,,0.0
acute-nephritis__NumericFeature[f3;+1std],5,0.0,3,,0.0
acute-nephritis__NumericFeature[f3;+2std],5,0.0,3,,0.0
acute-nephritis__NumericFeature[f1;-2std],5,33.333333333333336,0,f1,41.666666666666664
acute-nephritis__NumericFeature[f1;-1std],5,8.333333333333337,1,,0.0
acute-nephritis__NumericFeature[f1;-0.5std],5,8.333333333333337,1,,0.0
acute-nephritis__NumericFeature[f1;+0.5std],5,-16.666666666666664,1,,0.0
acute-nephritis__NumericFeature[f1;+1std],5,-8.333333333333325,1,,0.0
acute-nephritis__NumericFeature[f1;+2std],5,-8.333333333333325,1,,0.0
analcatdata_lawsuit__NumericFeature[CAP;-2std],3,42.307692307692314,1,,61.53846153846154
analcatdata_lawsuit__NumericFeature[CAP;-1std],3,23.076923076923084,1,,25.0
analcatdata_lawsuit__NumericFeature[CAP;-0.5std],3,7.692307692307699,1,,9.615384615384626
analcatdata_lawsuit__NumericFeature[CAP;+0.5std],3,-3.8461538461538436,1,,-5.769230769230759
analcatdata_lawsuit__NumericFeature[CAP;+1std],3,-3.8461538461538436,1,,0.0
analcatdata_lawsuit__NumericFeature[CAP;+2std],3,-3.8461538461538436,1,,0.0
annealing__NumericFeature[f27;-2std],27,1.1235955056179692,21,,-1.6759776536312776
annealing__NumericFeature[f27;-1std],27,0.0,21,,-1.6759776536312776
annealing__NumericFeature[f27;-0.5std],27,0.0,21,,-1.6759776536312776
annealing__NumericFeature[f27;+0.5std],27,5.617977528089879,9,f27,6.703910614525144
annealing__NumericFeature[f27;+1std],27,5.617977528089879,9,f27,6.703910614525144
annealing__NumericFeature[f27;+2std],27,5.617977528089879,9,f27,6.703910614525144
annealing__NumericFeature[f8;-2std],27,0.0,26,,-0.5586592178770888
annealing__NumericFeature[f8;-1std],27,0.0,26,,-0.5586592178770888
annealing__NumericFeature[f8;-0.5std],27,0.0,26,,-0.5586592178770888
annealing__NumericFeature[f8;+0.5std],27,8.98876404494382,21,,-20.11173184357542
annealing__NumericFeature[f8;+1std],27,8.98876404494382,21,,-20.11173184357542
annealing__NumericFeature[f8;+2std],27,8.98876404494382,21,,-20.11173184357542
annealing__NumericFeature[f2;-2std],27,8.98876404494382,11,,5.027932960893855
annealing__NumericFeature[f2;-1std],27,7.86516853932584,11,,4.469273743016755
annealing__NumericFeature[f2;-0.5std],27,1.1235955056179692,11,,2.7932960893854664
annealing__NumericFeature[f2;+0.5std],27,4.49438202247191,21,,-1.6759776536312776
