drift description,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,BARINEL_Paths_After faulty nodes indicies,BARINEL_Paths_After faulty features,BARINEL_Paths_After wasted effort,BARINEL_Paths_After fix accuracy,BARINEL_Paths_After fix accuracy increase,BARINEL_Paths_Difference faulty nodes indicies,BARINEL_Paths_Difference faulty features,BARINEL_Paths_Difference wasted effort,BARINEL_Paths_Difference fix accuracy,BARINEL_Paths_Difference fix accuracy increase
acute-inflammation__NumericFeature[f6;-2std],7,33.333333333333336,70.83333333333334,-16.666666666666664,100.0,12.5,0,"[, ', f, 4, ', ]",1,87.5,0.0,3,"[, ', f, 6, ', ]",0,100.0,12.5
acute-inflammation__NumericFeature[f6;-1std],7,33.333333333333336,70.83333333333334,-16.666666666666664,100.0,12.5,0,"[, ', f, 4, ', ]",1,87.5,0.0,3,"[, ', f, 6, ', ]",0,100.0,12.5
acute-inflammation__NumericFeature[f4;-2std],7,50.0,70.83333333333334,25.000000000000007,45.83333333333333,0.0,0,"[, ', f, 4, ', ]",0,100.0,54.16666666666667,0,"[, ', f, 4, ', ]",0,100.0,54.16666666666667
acute-inflammation__NumericFeature[f4;+2std],7,16.666666666666664,70.83333333333334,4.166666666666674,66.66666666666666,0.0,0,"[, ', f, 4, ', ]",0,100.0,33.333333333333336,5,"[, N, o, n, e, ]",1,87.5,20.833333333333336
acute-inflammation__NumericFeature[f5;-2std],7,25.0,70.83333333333334,4.166666666666674,87.5,20.833333333333336,0,"[, ', f, 4, ', ]",1,66.66666666666666,0.0,6,"[, N, o, n, e, ]",1,66.66666666666666,0.0
acute-inflammation__NumericFeature[f5;-1std],7,25.0,70.83333333333334,4.166666666666674,100.0,33.333333333333336,0,"[, ', f, 4, ', ]",1,66.66666666666666,0.0,6,"[, N, o, n, e, ]",1,66.66666666666666,0.0
acute-inflammation__NumericFeature[f5;+1std],7,33.333333333333336,70.83333333333334,-16.666666666666664,100.0,12.5,0,"[, ', f, 4, ', ]",1,87.5,0.0,2,"[, ', f, 5, ', ]",0,100.0,12.5
acute-inflammation__NumericFeature[f5;+2std],7,33.333333333333336,70.83333333333334,-16.666666666666664,100.0,12.5,0,"[, ', f, 4, ', ]",1,87.5,0.0,2,"[, ', f, 5, ', ]",0,100.0,12.5
acute-nephritis__NumericFeature[f3;-2std],5,33.333333333333336,91.66666666666666,33.33333333333333,50.0,-8.333333333333337,0,"[, ', f, 1, ', ]",1,58.333333333333336,0.0,2,"[, ', f, 3, ', ]",0,100.0,41.666666666666664
acute-nephritis__NumericFeature[f3;-1std],5,33.333333333333336,91.66666666666666,33.33333333333333,100.0,41.666666666666664,0,"[, ', f, 1, ', ]",1,58.333333333333336,0.0,2,"[, ', f, 3, ', ]",0,100.0,41.666666666666664
acute-nephritis__NumericFeature[f1;-2std],5,33.333333333333336,91.66666666666666,33.33333333333333,79.16666666666666,20.833333333333325,0,"[, ', f, 1, ', ]",0,100.0,41.666666666666664,0,"[, ', f, 1, ', ]",0,100.0,41.666666666666664
analcatdata_boxing1__NumericFeature[Round;-0.5std],33,25.0,70.83333333333334,4.166666666666674,75.0,8.333333333333337,"8, 16, 22","[, ', O, f, f, i, c, i, a, l, ', ,,  , ', R, o, u, n, d, ', ,,  , ', J, u, d, g, e, _, E, S, P, N, ', ]",2,66.66666666666666,0.0,"8, 44","[, ', O, f, f, i, c, i, a, l, ', ,,  , N, o, n, e, ]",1,66.66666666666666,0.0
analcatdata_boxing1__NumericFeature[Round;+0.5std],33,33.333333333333336,70.83333333333334,33.333333333333336,79.16666666666666,41.666666666666664,"3, 6, 8","[, N, o, n, e, ,,  , N, o, n, e, ,,  , ', O, f, f, i, c, i, a, l, ', ]",1,50.0,12.5,"3, 9","[, N, o, n, e, ,,  , ', R, o, u, n, d, ', ]",0,50.0,12.5
analcatdata_boxing1__NumericFeature[Round;+1std],33,33.333333333333336,70.83333333333334,8.333333333333337,83.33333333333334,20.833333333333336,"6, 8, 16","[, N, o, n, e, ,,  , ', O, f, f, i, c, i, a, l, ', ,,  , ', R, o, u, n, d, ', ]",1,45.83333333333333,-16.666666666666668,8,"[, ', O, f, f, i, c, i, a, l, ', ]",1,45.83333333333333,-16.666666666666668
analcatdata_boxing1__NumericFeature[Round;+2std],33,33.333333333333336,70.83333333333334,8.333333333333337,79.16666666666666,16.666666666666664,"6, 16, 11","[, N, o, n, e, ,,  , ', R, o, u, n, d, ', ,,  , N, o, n, e, ]",0,54.166666666666664,-8.333333333333337,"16, 11","[, ', R, o, u, n, d, ', ,,  , N, o, n, e, ]",0,54.166666666666664,-8.333333333333337
analcatdata_lawsuit__NumericFeature[CAP;-2std],3,42.307692307692314,94.23076923076923,63.46153846153846,78.84615384615384,48.07692307692307,1,"[, N, o, n, e, ]",0,92.3076923076923,61.53846153846154,1,"[, N, o, n, e, ]",0,92.3076923076923,61.53846153846154
analcatdata_lawsuit__NumericFeature[CAP;-1std],3,23.076923076923084,94.23076923076923,26.923076923076916,86.53846153846155,19.23076923076923,1,"[, N, o, n, e, ]",0,92.3076923076923,25.0,1,"[, N, o, n, e, ]",0,92.3076923076923,25.0
annealing__NumericFeature[f1;-2std],27,73.03370786516854,75.97765363128491,63.128491620111724,90.5027932960894,77.6536312849162,1,"[, N, o, n, e, ]",0,77.6536312849162,64.80446927374301,1,"[, N, o, n, e, ]",0,77.6536312849162,64.80446927374301
annealing__NumericFeature[f1;-1std],27,71.91011235955057,75.97765363128491,63.128491620111724,90.5027932960894,77.6536312849162,1,"[, N, o, n, e, ]",0,77.6536312849162,64.80446927374301,1,"[, N, o, n, e, ]",0,77.6536312849162,64.80446927374301
annealing__NumericFeature[f1;-0.5std],27,71.91011235955057,84.35754189944134,63.12849162011174,90.5027932960894,69.27374301675978,1,"[, N, o, n, e, ]",0,78.2122905027933,56.98324022346368,1,"[, N, o, n, e, ]",0,78.2122905027933,56.98324022346368
annealing__NumericFeature[f12;-2std],27,22.47191011235955,84.35754189944134,15.083798882681565,92.17877094972067,22.905027932960888,"14, 9, 21","[, ', f, 1, 2, ', ,,  , ', f, 2, 7, ', ,,  , N, o, n, e, ]",2,93.85474860335195,24.581005586592177,"14, 21","[, ', f, 1, 2, ', ,,  , N, o, n, e, ]",1,93.85474860335195,24.581005586592177
annealing__NumericFeature[f12;-1std],27,22.47191011235955,84.35754189944134,15.083798882681565,92.17877094972067,22.905027932960888,"14, 9, 21","[, ', f, 1, 2, ', ,,  , ', f, 2, 7, ', ,,  , N, o, n, e, ]",2,93.85474860335195,24.581005586592177,"14, 21","[, ', f, 1, 2, ', ,,  , N, o, n, e, ]",1,93.85474860335195,24.581005586592177
annealing__NumericFeature[f4;+0.5std],27,75.28089887640449,84.35754189944134,63.12849162011174,77.09497206703911,55.865921787709496,2,"[, ', f, 4, ', ]",0,91.62011173184358,70.39106145251397,23,"[, N, o, n, e, ]",1,86.03351955307262,64.80446927374301
annealing__NumericFeature[f4;+1std],27,76.40449438202246,84.35754189944134,63.12849162011174,92.17877094972067,70.94972067039106,2,"[, ', f, 4, ', ]",0,91.62011173184358,70.39106145251397,"23, 26","[, N, o, n, e, ,,  , N, o, n, e, ]",1,13.40782122905028,-7.82122905027933
