name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features_STAT_SFLDT average wasted effort,BARINEL_Features_STAT_SFLDT average fix accuracy,BARINEL_Features_STAT_SFLDT average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,0.375,83.33333333333333,8.854166666666668
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,0.0,77.08333333333334,12.499999999999996
analcatdata_boxing1,33,8,62.5,70.83333333333336,8.333333333333337,81.25000000000001,18.750000000000004,2.125,66.14583333333333,3.645833333333333
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206
annealing,27,12,46.22905027932961,82.9608938547486,36.731843575419,89.75791433891992,43.52886405959031,0.6666666666666666,79.51582867783983,33.28677839851023
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307694,61.53846153846155,12.051282051282051,3.7,38.46153846153845,-11.025641025641026
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,90.15486725663717,36.946902654867266
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,64.66666666666667,-2.3333333333333326
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115043,29.911504424778762,1.6,62.12389380530973,-4.424778761061946
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546764,59.35251798561152,0.0,78.41726618705036,45.32374100719424
caradiotocography10clases,39,15,55.60784313725491,69.64705882352942,14.039215686274511,70.22745098039215,14.619607843137256,4.6,60.3450980392157,4.737254901960785
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.39215686274508,18.431372549019603,3.5,77.49019607843137,5.5294117647058805
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765958,14.893617021276597,0.0,82.4468085106383,7.978723404255322
credit-approval,5,6,68.59903381642512,84.05797101449275,15.45893719806763,71.01449275362319,2.4154589371980673,0.3333333333333333,69.20289855072464,0.6038647342995169
dermatology,17,13,59.85247629083245,85.98524762908325,26.132771338250787,90.62170706006322,30.76923076923077,0.38461538461538464,74.28872497365647,14.436248682824028
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,64.78494623655915,0.0
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,78.84615384615384,28.846153846153843
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358216,77.23880597014926,22.94776119402985,1.625,66.6044776119403,12.313432835820896
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,70.45454545454545,11.363636363636363
energy-y1,59,13,73.5042735042735,89.54248366013074,16.038210155857218,90.79939668174963,17.295123177476118,3.0,75.21367521367522,1.7094017094017093
energy-y2,57,11,65.24064171122994,86.9281045751634,21.687462863933458,91.44385026737967,26.203208556149733,3.3636363636363638,70.23172905525847,4.991087344028522
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931034,56.89655172413793,-9.051724137931036,1.5,66.8103448275862,0.8620689655172438
horse-colic,19,8,60.44520547945205,63.013698630137,2.5684931506849296,82.53424657534245,22.089041095890412,2.375,65.41095890410959,4.965753424657534
ionosphere,5,4,57.14285714285714,85.35714285714286,28.21428571428571,87.14285714285715,30.0,0.0,75.71428571428571,18.571428571428566
iris,13,9,60.370370370370374,78.51851851851853,18.148148148148152,94.81481481481482,34.44444444444444,0.6666666666666666,73.70370370370371,13.333333333333336
low-res-spect,59,10,59.52830188679244,76.32075471698113,16.792452830188683,85.28301886792454,25.754716981132077,5.1,72.45283018867924,12.92452830188679
lowbwt,7,3,63.96396396396397,81.08108108108108,17.117117117117118,61.26126126126126,-2.7027027027027004,0.6666666666666666,63.963963963963955,0.0
mammographic,17,5,66.04166666666666,82.8125,16.770833333333332,81.25,15.208333333333332,2.0,72.60416666666667,6.5625
meta,19,4,65.23809523809524,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,1.0,63.09523809523809,-2.1428571428571437
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000005,0.3333333333333333,86.375,-2.041666666666663
molec-biol-splice,57,21,74.57829526795042,85.89341692789965,11.31512165994925,88.52067472757128,13.942379459620843,5.238095238095238,80.98223615464995,6.403940886699512
monks-1,51,17,72.1250662427133,67.56756756756758,-4.5574986751457365,74.56279809220986,2.437731849496554,1.8235294117647058,72.01907790143083,-0.10598834128246046
monks-3,27,10,73.81818181818183,88.36363636363639,14.54545454545455,82.72727272727272,8.90909090909091,0.7,78.81818181818183,5.000000000000003
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,2.0,83.4313725490196,14.901960784313733
oocytes_trisopterus_states_5b,17,11,60.58941058941058,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277727,1.9090909090909092,77.97202797202797,17.382617382617383
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,69.23076923076923,0.0
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.3333333333333333,76.19047619047619,26.984126984126988
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999996,1.0,71.0,10.5
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,57.14285714285714,19.047619047619047
seeds,15,8,57.4404761904762,80.95238095238095,23.511904761904763,85.11904761904762,27.678571428571423,0.625,63.39285714285714,5.952380952380954
soybean,59,21,58.29831932773109,52.205882352941195,-6.092436974789909,85.18907563025209,26.890756302521016,3.3333333333333335,58.403361344537814,0.10504201680672534
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,75.47169811320755,38.67924528301887
squash-unstored,5,6,61.666666666666664,80.0,18.33333333333334,56.666666666666664,-5.0,0.3333333333333333,61.666666666666664,1.1842378929335002e-15
statlog-image,57,22,69.37229437229439,88.75442739079105,19.382133018496653,91.44037780401418,22.068083431719796,2.772727272727273,73.53404171585989,4.161747343565526
synthetic-control,39,19,68.6842105263158,66.79824561403508,-1.8859649122807067,89.34210526315789,20.657894736842103,1.4736842105263157,70.83333333333334,2.1491228070175428
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735845,91.14707282246549,11.851499286054262,2.909090909090909,80.58067586863399,1.2851023322227502
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,65.38461538461539,8.653846153846155
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,1.0,65.59139784946235,10.215053763440856
vertebral-column-3clases,9,6,51.34408602150537,69.35483870967742,18.01075268817205,59.13978494623657,7.795698924731184,0.6666666666666666,54.03225806451612,2.688172043010752
wall-following,41,21,65.56239361005632,95.94954388721577,30.387150277159446,96.30745056959539,30.745056959539085,1.2857142857142858,82.44074898520363,16.87835537514731
wine,9,7,64.89795918367346,62.0408163265306,-2.857142857142858,91.83673469387756,26.938775510204078,0.7142857142857143,65.71428571428571,0.8163265306122446
zoo,15,9,67.22222222222223,75.0,7.777777777777778,90.0,22.77777777777778,0.8888888888888888,74.44444444444444,7.222222222222222
TOTAL,30.50588235294118,8.057692307692308,63.78223671317269,77.1696055988882,13.387368885715503,83.43627663869599,19.654039925523296,1.8541176470588234,71.2437229891548,7.461486275982114
