name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Paths_Difference average wasted effort,BARINEL_Paths_Difference average fix accuracy,BARINEL_Paths_Difference average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,0.75,85.41666666666666,10.9375
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,0.5,79.16666666666667,14.583333333333332
analcatdata_boxing1,33,8,62.5,70.83333333333336,8.333333333333337,81.25000000000001,18.750000000000004,0.375,62.5,-1.1102230246251565e-16
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206
annealing,27,12,46.22905027932961,82.9608938547486,36.731843575419,89.75791433891993,43.52886405959031,0.75,64.89757914338921,18.668528864059592
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307697,61.53846153846153,12.051282051282051,0.6,62.56410256410256,13.076923076923075
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,95.33333333333333,28.333333333333332
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115043,29.911504424778762,0.6,74.86725663716814,8.318584070796462
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546764,59.35251798561152,0.5,62.94964028776978,29.856115107913674
caradiotocography10clases,39,15,55.6078431372549,69.64705882352942,14.039215686274513,70.22745098039215,14.619607843137258,0.6666666666666666,66.36862745098041,10.76078431372549
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.3921568627451,18.43137254901961,0.6666666666666666,73.99999999999999,2.039215686274511
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.5,85.1063829787234,10.638297872340427
chscase_vine1,9,5,40.0,40.0,3.197442310920451e-15,58.0,18.0,0.0,64.0,24.0
credit-approval,5,6,68.59903381642512,84.05797101449275,15.45893719806763,71.01449275362319,2.4154589371980673,0.3333333333333333,79.95169082125604,11.352657004830917
dermatology,17,13,59.85247629083245,85.98524762908323,26.132771338250784,90.62170706006324,30.76923076923077,0.6923076923076923,71.75974710221284,11.907270811380402
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,92.20430107526882,27.41935483870968
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358214,77.23880597014926,22.947761194029848,0.5,69.02985074626866,14.738805970149254
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,86.36363636363636,27.272727272727273
energy-y1,59,13,73.5042735042735,89.54248366013074,16.03821015585722,90.79939668174963,17.295123177476118,0.5384615384615384,80.19105077928609,6.68677727501257
energy-y2,57,11,65.24064171122994,86.9281045751634,21.68746286393345,91.44385026737969,26.203208556149733,0.45454545454545453,74.21271538918596,8.972073677956034
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931034,56.89655172413793,-9.051724137931036,0.25,77.15517241379311,11.206896551724132
horse-colic,19,8,60.44520547945205,63.013698630137,2.568493150684929,82.53424657534246,22.089041095890412,0.625,66.26712328767124,5.82191780821918
ionosphere,5,4,57.142857142857146,85.35714285714285,28.214285714285708,87.14285714285714,30.0,0.75,67.85714285714286,10.714285714285714
iris,13,9,60.370370370370374,78.51851851851852,18.148148148148152,94.8148148148148,34.44444444444444,0.3333333333333333,74.81481481481484,14.444444444444445
low-res-spect,59,10,59.52830188679244,76.32075471698113,16.792452830188683,85.28301886792454,25.754716981132084,0.7,64.24528301886792,4.716981132075474
