name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL average wasted effort,STAT_BARINEL average fix accuracy,STAT_BARINEL average fix accuracy increase
acute-inflammation,7,8,31.250000000000004,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,0.5,89.0625,14.583333333333336
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.05555555555555,0.6666666666666666,94.44444444444444,36.11111111111111
analcatdata_boxing1,33,4,31.25,70.83333333333334,13.54166666666667,79.16666666666666,21.875,0.0,63.541666666666664,6.25
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,0.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.910614525139664,89.94413407821229,51.1731843575419,1.0,74.41340782122904,35.64245810055865
audiology-std,43,8,36.84210526315789,48.71794871794872,-2.220446049250313e-16,60.256410256410255,11.538461538461538,0.5,65.06410256410257,16.346153846153843
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.0,56.5,-3.499999999999999
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725664,96.23893805309734,22.56637168141593,1.0,72.34513274336283,-1.3274336283185861
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.5,92.80575539568345,59.71223021582735
caradiotocography10clases,39,12,24.882075471698112,69.62745098039215,15.843137254901963,67.92156862745098,14.137254901960787,4.5,58.56862745098041,4.784313725490198
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470588,20.764705882352942,3.75,75.70588235294117,4.941176470588235
chatfield_4,5,4,28.260869565217387,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.0,80.85106382978724,6.382978723404259
chscase_vine1,9,3,40.0,40.0,3.552713678800501e-15,60.0,20.0,0.0,76.66666666666667,36.666666666666664
credit-approval,5,4,25.000000000000004,84.05797101449275,23.18840579710145,67.02898550724638,6.159420289855072,0.5,77.89855072463769,17.028985507246375
dermatology,17,13,37.820512820512825,85.98524762908325,26.132771338250784,90.62170706006324,30.769230769230774,0.5384615384615384,64.48893572181244,4.636459430979981
