after size,drift size,drifted features types,total drift type,count,after accuracy decrease,after retrain accuracy increase,before after retrain accuracy increase,STAT_SFLDT fix accuracy increase,STAT_SFLDT wasted effort,BARINEL fix accuracy increase,BARINEL wasted effort,BARINEL_Paths_After fix accuracy increase,BARINEL_Paths_After wasted effort,STAT_BARINEL_Paths_After fix accuracy increase,STAT_BARINEL_Paths_After wasted effort,BARINEL_Paths_Difference fix accuracy increase,BARINEL_Paths_Difference wasted effort,STAT_BARINEL_Paths_Difference fix accuracy increase,STAT_BARINEL_Paths_Difference wasted effort,BARINEL_Features fix accuracy increase,BARINEL_Features wasted effort,BARINEL_Features_Paths_After fix accuracy increase,BARINEL_Features_Paths_After wasted effort,BARINEL_Features_Paths_Difference fix accuracy increase,BARINEL_Features_Paths_Difference wasted effort,SFLDT_Features fix accuracy increase,SFLDT_Features wasted effort,fuzzy participation STAT_SFLDT fix accuracy increase,fuzzy participation STAT_SFLDT wasted effort,fuzzy participation BARINEL fix accuracy increase,fuzzy participation BARINEL wasted effort,fuzzy participation BARINEL_Paths_After fix accuracy increase,fuzzy participation BARINEL_Paths_After wasted effort,fuzzy participation STAT_BARINEL_Paths_After fix accuracy increase,fuzzy participation STAT_BARINEL_Paths_After wasted effort,fuzzy participation BARINEL_Paths_Difference fix accuracy increase,fuzzy participation BARINEL_Paths_Difference wasted effort,fuzzy participation STAT_BARINEL_Paths_Difference fix accuracy increase,fuzzy participation STAT_BARINEL_Paths_Difference wasted effort,fuzzy participation BARINEL_Features fix accuracy increase,fuzzy participation BARINEL_Features wasted effort,fuzzy participation BARINEL_Features_Paths_After fix accuracy increase,fuzzy participation BARINEL_Features_Paths_After wasted effort,fuzzy participation BARINEL_Features_Paths_Difference fix accuracy increase,fuzzy participation BARINEL_Features_Paths_Difference wasted effort,fuzzy participation SFLDT_Features fix accuracy increase,fuzzy participation SFLDT_Features wasted effort
0.5,1,numeric,numeric,326,20447.28271,-2925.133249,3266.460082,2113.959864,5516,2243.156786,165,2205.951196,177,1814.105447,257,1907.11889,186,1664.08859,201,2470.455866,400,2174.735069,425,2003.320778,311,2809.569929,394,,,,,,,,,,,,,,,,,,,,
0.5,2,"binary, numeric",mixed,41,2476.948052,268.2900433,-135.4978355,-232.7380952,159,-26.40692641,0,-26.40692641,0,-94.6969697,0,-94.6969697,0,-94.6969697,0,133.7662338,1,133.7662338,1,246.2662338,0,233.7662338,0,,,,,,,,,,,,,,,,,,,,
0.5,2,"numeric, binary",mixed,80,5890.909091,-2414.718615,-1037.987013,-1204.761905,664,38.52813853,0,8.225108225,0,-26.40692641,0,-26.40692641,0,-26.40692641,0,42.42424242,16,-75.32467532,36,109.0909091,0,109.0909091,0,,,,,,,,,,,,,,,,,,,,
0.5,2,"numeric, numeric",numeric,14253,874831.1684,-250424.1578,154688.0643,62493.5944,411142,57546.09976,8936,51535.22202,9170,43543.31694,12684,52248.85984,9434,47046.7241,9759,59320.15381,17552,49917.00808,18112,52179.89908,13039,64178.51653,19754,,,,,,,,,,,,,,,,,,,,
0.5,3,"binary, binary, numeric",mixed,16,1274.458874,-893.5064935,-941.991342,-914.2857143,160,27.70562771,0,27.70562771,0,96.96969697,0,96.96969697,0,96.96969697,0,111.6883117,0,111.6883117,0,111.6883117,0,111.6883117,0,,,,,,,,,,,,,,,,,,,,
0.5,3,"binary, numeric, binary",mixed,320,18341.12554,-10722.07792,-5061.471861,-4813.852814,3040,238.961039,0,-103.8961039,0,689.1774892,0,689.1774892,0,689.1774892,0,516.017316,0,3099.5671,128,516.017316,0,516.017316,0,,,,,,,,,,,,,,,,,,,,
0.5,3,"numeric, binary, binary",mixed,680,49386.36364,-16783.98268,-6553.246753,-8842.857143,3772,-384.8484848,0,-585.7142857,0,-1361.904762,0,-1361.904762,0,-1361.904762,0,-284.1991342,36,-1073.809524,132,-484.1991342,0,-650.8658009,0,,,,,,,,,,,,,,,,,,,,
0.5,3,"numeric, numeric, numeric",numeric,250812,14291123.8,-6386126.039,2973076.796,385128.1686,7650749,1030111.096,156404,1025386.413,158163,1254749.844,190946,1365997.934,163898,1398447.721,159229,904958.7733,274050,900087.8488,275632,1370225.984,182266,832979.3287,358633,,,,,,,,,,,,,,,,,,,,
0.5,4,"binary, numeric, binary, binary",mixed,2032,105256.2771,-31770.56277,-13201.94805,-14041.55844,11328,193.9393939,0,-845.021645,0,969.6969697,0,969.6969697,0,969.6969697,0,1812.121212,0,19706.49351,480,1745.454545,0,1478.787879,0,,,,,,,,,,,,,,,,,,,,
0.5,4,"numeric, binary, binary, binary",mixed,2560,203913.4199,-142961.039,-75359.30736,-73142.85714,20992,3878.787879,0,2216.450216,0,10500.4329,0,10500.4329,0,10500.4329,0,12187.01299,0,6091.774892,640,12187.01299,0,12187.01299,0,,,,,,,,,,,,,,,,,,,,
0.5,4,"numeric, numeric, numeric, numeric",numeric,524835,29239829.9,3989163.39,5479646.714,794293.7341,8678863,747916.0042,216862,786046.1313,234189,513414.9173,320699,1319087.817,252848,847839.1234,263387,1134974.022,424964,1054818.146,412727,1005489.474,371009,1602006.966,496222,,,,,,,,,,,,,,,,,,,,
1,1,numeric,numeric,313,19233.37146,-1640.250905,4078.934748,3229.950514,4740,3128.1149,157,3053.6984,159,2883.574967,253,2382.844279,168,2493.267682,178,3747.738342,302,3364.412782,358,2495.723306,305,4061.801933,357,,,,,,,,,,,,,,,,,,,,
1,2,"binary, numeric",mixed,149,7618.506494,4150.108225,1180.952381,2207.088745,1199,-83.54978355,36,88.31168831,36,2165.909091,0,386.2554113,0,2165.909091,0,781.8181818,53,3679.220779,17,994.3181818,36,3879.220779,0,,,,,,,,,,,,,,,,,,,,
1,2,"numeric, binary",mixed,96,4155.844156,3906.493506,1386.580087,2762.337662,1152,406.9264069,72,635.4978355,72,3044.155844,0,607.3593074,0,3044.155844,0,685.7142857,72,4238.961039,0,685.7142857,72,4238.961039,0,,,,,,,,,,,,,,,,,,,,
