name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Combo average wasted effort,BARINEL_Combo average fix accuracy,BARINEL_Combo average fix accuracy increase
acute-inflammation,7,8,31.250000000000004,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,0.5,90.10416666666666,15.625
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.055555555555554,0.6666666666666666,72.22222222222223,13.888888888888888
analcatdata_boxing1,47,5,25.000000000000007,70.83333333333334,10.833333333333337,80.0,20.0,1.0,61.66666666666667,1.6666666666666679
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,0.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.91061452513967,89.9441340782123,51.17318435754189,0.8,88.3798882681564,49.608938547486034
audiology-std,43,8,36.84210526315789,48.71794871794872,-6.661338147750939e-16,60.256410256410255,11.538461538461538,2.75,46.79487179487179,-1.9230769230769234
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.0,69.5,9.5
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725664,96.23893805309734,22.56637168141593,1.75,70.13274336283186,-3.539823008849556
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.5,62.94964028776978,29.856115107913674
caradiotocography10clases,39,12,24.882075471698112,69.62745098039215,15.843137254901963,67.92156862745098,14.137254901960786,4.583333333333333,57.86274509803922,4.07843137254902
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470588,20.764705882352942,5.25,77.52941176470588,6.764705882352939
chatfield_4,5,4,28.260869565217387,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.0,80.85106382978724,6.382978723404259
chscase_vine1,9,3,40.0,40.0,3.552713678800501e-15,60.0,20.0,0.0,73.33333333333333,33.333333333333336
credit-approval,5,4,25.000000000000007,84.05797101449275,23.188405797101446,67.02898550724638,6.159420289855072,0.5,77.89855072463769,17.028985507246375
dermatology,17,13,37.820512820512825,85.98524762908323,26.132771338250787,90.62170706006322,30.769230769230774,0.5384615384615384,74.28872497365647,14.436248682824026
diggle_table_a2,3,5,36.774193548387096,93.87096774193549,29.67741935483871,85.80645161290322,21.612903225806445,0.0,71.93548387096773,7.741935483870968
echocardiogram,3,2,42.30769230769231,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846
ecoli,11,7,32.46753246753247,67.16417910447761,15.138592750533054,76.33262260127933,24.307036247334757,1.0,64.39232409381664,12.366737739872066
elusage,7,3,26.66666666666667,45.45454545454546,-9.090909090909092,66.66666666666667,12.121212121212123,0.0,78.7878787878788,24.242424242424246
energy-y1,59,9,27.631578947368425,89.54248366013074,21.71387073347858,89.54248366013073,21.713870733478576,3.7777777777777777,67.68336964415397,-0.1452432824981851
energy-y2,57,9,24.269005847953217,86.9281045751634,24.909222948438643,91.06753812636165,29.04865649963689,2.6666666666666665,72.54901960784315,10.530137981118376
horse-colic,19,7,22.22222222222223,63.013698630137,4.5009784735812115,81.80039138943248,23.28767123287671,2.7142857142857144,65.36203522504893,6.8493150684931505
ionosphere,5,4,26.428571428571423,85.35714285714285,28.214285714285708,87.14285714285714,30.0,0.0,86.42857142857142,29.285714285714278
iris,13,8,38.333333333333336,78.33333333333333,21.66666666666667,94.58333333333333,37.916666666666664,1.0,70.0,13.333333333333334
