name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,FuzzySFLDT average wasted effort,FuzzySFLDT average fix accuracy,FuzzySFLDT average fix accuracy increase
acute-inflammation,7,8,31.250000000000004,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,0.875,79.16666666666667,4.687500000000001
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.055555555555554,0.6666666666666666,75.0,16.66666666666666
analcatdata_boxing1,33,4,31.25,70.83333333333334,13.54166666666667,79.16666666666666,21.875,5.5,62.50000000000001,5.2083333333333375
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,0.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.910614525139664,89.94413407821229,51.1731843575419,6.6,87.26256983240225,48.491620111731834
audiology-std,43,8,36.84210526315789,48.71794871794872,-1.1102230246251565e-16,60.256410256410255,11.53846153846154,14.0,43.91025641025641,-4.8076923076923075
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,90.15486725663717,36.946902654867266
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.0,56.5,-3.499999999999999
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725668,96.23893805309734,22.56637168141593,15.0,67.47787610619469,-6.194690265486724
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546764,59.35251798561152,0.5,78.41726618705036,45.32374100719424
caradiotocography10clases,39,12,24.882075471698116,69.62745098039215,15.843137254901963,67.92156862745098,14.137254901960786,13.166666666666666,60.35294117647059,6.568627450980394
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470588,20.764705882352942,32.25,75.52941176470587,4.76470588235294
chatfield_4,5,4,28.260869565217387,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.75,80.85106382978724,6.382978723404259
chscase_vine1,9,3,40.0,40.0,3.552713678800501e-15,60.0,20.0,0.6666666666666666,50.0,9.999999999999998
credit-approval,5,4,25.000000000000004,84.05797101449275,23.18840579710145,67.02898550724638,6.159420289855072,1.0,69.20289855072463,8.333333333333332
dermatology,17,13,37.820512820512825,85.98524762908323,26.132771338250784,90.62170706006322,30.769230769230774,3.4615384615384617,61.95995785036881,2.107481559536354
diggle_table_a2,3,5,36.774193548387096,93.87096774193549,29.67741935483871,85.80645161290322,21.612903225806445,0.0,64.19354838709677,0.0
echocardiogram,3,2,42.30769230769231,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,69.23076923076923,19.23076923076923
ecoli,11,7,32.46753246753247,67.16417910447761,15.138592750533055,76.33262260127933,24.307036247334757,3.2857142857142856,63.11300639658849,11.087420042643924
elusage,7,3,26.66666666666667,45.45454545454546,-9.090909090909092,66.66666666666667,12.121212121212123,0.0,57.57575757575757,3.0303030303030294
energy-y1,59,9,27.63157894736842,89.54248366013074,21.71387073347858,89.54248366013073,21.713870733478576,38.77777777777778,68.48220769789397,0.6535947712418302
