name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features average wasted effort,BARINEL_Features average fix accuracy,BARINEL_Features average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,1.0,83.33333333333333,8.854166666666668
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,1.5,79.16666666666666,14.58333333333333
analcatdata_boxing1,33,8,62.5,70.83333333333336,8.333333333333337,81.25000000000001,18.750000000000004,6.5,73.95833333333334,11.458333333333334
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206
annealing,27,12,46.22905027932961,82.9608938547486,36.731843575419,89.75791433891995,43.52886405959031,3.9166666666666665,80.12104283054005,33.89199255121043
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307692,61.53846153846153,12.051282051282048,21.6,40.51282051282051,-8.974358974358973
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,1.0,90.04424778761062,36.83628318584071
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,64.66666666666667,-2.3333333333333326
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115045,29.91150442477877,9.2,62.477876106194685,-4.070796460176989
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,1.5,78.41726618705036,45.32374100719424
caradiotocography10clases,39,15,55.6078431372549,69.64705882352942,14.039215686274511,70.22745098039216,14.619607843137256,19.2,61.34901960784315,5.741176470588235
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.3921568627451,18.43137254901961,15.166666666666666,78.07843137254902,6.117647058823532
