drift description,drifted features types,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,BARINEL_Features faulty nodes indicies,BARINEL_Features faulty features,BARINEL_Features wasted effort,BARINEL_Features fix accuracy,BARINEL_Features fix accuracy increase
acute-inflammation__NumericFeature[f4;-2std],numeric,7,45.83333333333333,70.83333333333334,25.000000000000007,45.83333333333333,0.0,"1, 4, 5, 6","target, target, target, target",3,45.83333333333333,0.0
acute-inflammation__NumericFeature[f4;+2std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,66.66666666666666,0.0,"1, 4, 5, 6","target, target, target, target",3,87.5,20.833333333333336
acute-inflammation__NumericFeature[f6;-2std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,3,f6,0,100.0,12.5
acute-inflammation__NumericFeature[f6;-1std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,3,f6,0,100.0,12.5
acute-inflammation__NumericFeature[f5;-2std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,87.5,20.833333333333336,3,f6,1,66.66666666666666,0.0
acute-inflammation__NumericFeature[f5;-1std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,100.0,33.333333333333336,3,f6,1,66.66666666666666,0.0
acute-inflammation__NumericFeature[f5;+1std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,2,f5,0,100.0,12.5
acute-inflammation__NumericFeature[f5;+2std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,2,f5,0,100.0,12.5
acute-nephritis__NumericFeature[f3;-2std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,50.0,-8.333333333333337,"1, 3, 4","target, target, target",1,91.66666666666666,33.33333333333333
acute-nephritis__NumericFeature[f3;-1std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,100.0,41.666666666666664,"1, 3, 4","target, target, target",1,91.66666666666666,33.33333333333333
acute-nephritis__NumericFeature[f1;-2std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,79.16666666666666,20.833333333333325,"1, 3, 4","target, target, target",2,58.333333333333336,0.0
acute-nephritis__NumericFeature[f1;-1std],numeric,5,83.33333333333334,91.66666666666666,8.333333333333325,100.0,16.666666666666664,"1, 3, 4","target, target, target",2,75.0,-8.333333333333337
"analcatdata_boxing1__CategoricalFeature[Official=1;p=0,5]",binary,33,75.0,70.83333333333334,-4.1666666666666625,83.33333333333334,8.333333333333337,"1, 3, 6, 10, 28, 11, 12, 21, 32, 29, 30, 23, 37, 38, 36, 43, 44","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",16,83.33333333333334,8.333333333333337
"analcatdata_boxing1__CategoricalFeature[Official=1;p=0,7]",binary,33,70.83333333333334,70.83333333333334,0.0,83.33333333333334,12.5,"1, 3, 6, 10, 28, 11, 12, 21, 32, 29, 30, 23, 37, 38, 36, 43, 44","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",16,83.33333333333334,12.5
