name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features average wasted effort,BARINEL_Features average fix accuracy,BARINEL_Features average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,0.5,89.0625,14.583333333333334
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,1.0,85.41666666666666,20.83333333333333
analcatdata_boxing1,33,8,62.5,70.83333333333336,8.333333333333337,81.25,18.750000000000004,0.5,63.54166666666667,1.0416666666666696
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206
annealing,27,12,46.22905027932961,82.9608938547486,36.731843575419,89.75791433891995,43.52886405959031,6.25,88.17504655493481,41.94599627560521
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307695,61.53846153846153,12.051282051282055,8.0,52.05128205128206,2.5641025641025634
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,1.0,90.04424778761062,36.83628318584071
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,75.33333333333333,8.333333333333334
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115043,29.911504424778762,1.0,69.5575221238938,3.0088495575221246
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,1.5,78.41726618705036,45.32374100719424
caradiotocography10clases,39,15,55.6078431372549,69.64705882352942,14.039215686274513,70.22745098039215,14.619607843137256,9.466666666666667,61.30196078431372,5.6941176470588255
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.3921568627451,18.43137254901961,1.1666666666666667,75.25490196078431,3.294117647058821
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765958,14.893617021276597,0.5,86.70212765957447,12.234042553191493
chscase_vine1,9,5,40.0,40.0,3.197442310920451e-15,58.0,18.0,0.0,60.0,20.0
credit-approval,5,6,68.59903381642512,84.05797101449275,15.458937198067632,71.01449275362317,2.4154589371980677,1.3333333333333333,64.25120772946859,-4.347826086956522
dermatology,17,13,59.85247629083245,85.98524762908323,26.132771338250784,90.62170706006324,30.769230769230774,3.1538461538461537,76.50158061116966,16.649104320337198
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,75.53763440860216,10.752688172043014
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,78.84615384615384,28.846153846153847
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358214,77.23880597014926,22.947761194029848,2.375,62.68656716417911,8.395522388059701
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,77.27272727272727,18.18181818181818
energy-y1,59,13,73.50427350427351,89.54248366013074,16.038210155857215,90.79939668174964,17.295123177476118,5.230769230769231,74.10759175465058,0.6033182503770742
energy-y2,57,11,65.24064171122994,86.9281045751634,21.687462863933458,91.44385026737967,26.203208556149733,6.181818181818182,71.301247771836,6.060606060606062
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931032,56.896551724137936,-9.051724137931036,1.25,63.36206896551724,-2.5862068965517238
horse-colic,19,8,60.44520547945205,63.013698630137,2.5684931506849296,82.53424657534245,22.08904109589041,1.875,65.06849315068493,4.623287671232878
ionosphere,5,4,57.142857142857146,85.35714285714285,28.214285714285708,87.14285714285714,30.0,0.5,82.49999999999999,25.35714285714285
iris,13,9,60.370370370370374,78.51851851851853,18.148148148148152,94.81481481481482,34.44444444444444,1.6666666666666667,75.18518518518518,14.814814814814818
low-res-spect,59,10,59.52830188679245,76.32075471698113,16.792452830188687,85.28301886792454,25.754716981132077,18.1,69.52830188679245,9.999999999999998
