name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL_Features average wasted effort,BARINEL_Features average fix accuracy,BARINEL_Features average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,0.125,95.83333333333333,21.354166666666668
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,0.0,100.0,35.416666666666664
analcatdata_boxing1,33,8,62.5,70.83333333333336,8.333333333333337,81.25000000000001,18.750000000000004,0.5,63.541666666666664,1.0416666666666683
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206
annealing,27,12,46.22905027932961,82.9608938547486,36.731843575419,89.75791433891992,43.52886405959031,0.5,82.9143389199255,36.6852886405959
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307697,61.53846153846153,12.051282051282051,1.5,63.07692307692308,13.589743589743588
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,95.33333333333333,28.333333333333332
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115043,29.911504424778762,1.0,68.14159292035399,1.5929203539823011
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546764,59.35251798561152,0.0,92.80575539568345,59.71223021582735
caradiotocography10clases,39,15,55.6078431372549,69.64705882352942,14.039215686274511,70.22745098039215,14.619607843137256,1.0666666666666667,65.66274509803922,10.054901960784314
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.3921568627451,18.43137254901961,1.6666666666666667,71.56862745098039,-0.3921568627451002
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.0,93.08510638297872,18.61702127659575
chscase_vine1,9,5,40.0,40.0,3.197442310920451e-15,58.0,18.0,0.2,54.0,14.0
credit-approval,5,6,68.59903381642512,84.05797101449275,15.458937198067632,71.01449275362317,2.4154589371980677,0.0,84.05797101449275,15.458937198067632
dermatology,17,13,59.85247629083245,85.98524762908323,26.132771338250787,90.62170706006322,30.769230769230774,0.15384615384615385,84.40463645943099,24.552160168598526
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,92.20430107526882,27.41935483870968
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358216,77.23880597014926,22.94776119402985,0.75,67.53731343283582,13.246268656716417
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,86.36363636363636,27.272727272727273
energy-y1,59,13,73.5042735042735,89.54248366013074,16.038210155857218,90.79939668174963,17.295123177476118,3.5384615384615383,74.10759175465057,0.6033182503770743
energy-y2,57,11,65.24064171122994,86.9281045751634,21.687462863933455,91.44385026737969,26.203208556149733,3.4545454545454546,74.09387997623291,8.853238265002974
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931032,56.896551724137936,-9.051724137931036,1.0,67.24137931034483,1.293103448275862
horse-colic,19,8,60.44520547945205,63.013698630137,2.5684931506849296,82.53424657534246,22.08904109589041,0.875,64.21232876712328,3.7671232876712346
ionosphere,5,4,57.14285714285714,85.35714285714286,28.21428571428571,87.14285714285715,30.0,0.0,86.42857142857143,29.28571428571428
iris,13,9,60.370370370370374,78.51851851851853,18.148148148148152,94.81481481481482,34.44444444444444,0.6666666666666666,84.44444444444444,24.074074074074076
low-res-spect,59,10,59.52830188679244,76.32075471698113,16.792452830188683,85.28301886792454,25.754716981132084,1.4,61.79245283018868,2.264150943396227
lowbwt,7,3,63.96396396396397,81.08108108108108,17.117117117117118,61.26126126126126,-2.7027027027027004,1.3333333333333333,72.07207207207206,8.108108108108107
mammographic,17,5,66.04166666666666,82.8125,16.770833333333332,81.25,15.208333333333332,1.8,74.89583333333333,8.854166666666666
meta,19,4,65.23809523809524,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,1.0,65.23809523809524,0.0
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000005,1.8333333333333333,89.625,1.2083333333333337
molec-biol-splice,57,21,74.57829526795044,85.89341692789965,11.315121659949247,88.52067472757129,13.942379459620842,0.14285714285714285,89.52828780414988,14.949992536199435
monks-1,51,17,72.1250662427133,67.56756756756758,-4.5574986751457365,74.56279809220985,2.4377318494965543,2.6470588235294117,83.25384207737153,11.128775834658187
monks-3,27,10,73.8181818181818,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,0.9,84.27272727272728,10.454545454545457
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.941176470588236,0.8,72.74509803921568,4.215686274509807
oocytes_trisopterus_states_5b,17,11,60.58941058941058,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277717,0.8181818181818182,80.01998001998003,19.43056943056943
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,80.12820512820514,10.897435897435898
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,0.6666666666666666,68.25396825396825,19.047619047619047
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999998,1.0,74.0,13.499999999999998
rabe_131,3,6,66.66666666666667,60.0,-6.666666666666669,66.66666666666667,0.0,0.0,71.66666666666667,4.999999999999997
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,42.857142857142854,4.761904761904762
seeds,15,8,57.4404761904762,80.95238095238095,23.511904761904763,85.1190476190476,27.678571428571423,0.625,71.72619047619048,14.285714285714288
soybean,59,21,58.29831932773109,52.205882352941195,-6.092436974789912,85.1890756302521,26.89075630252101,0.8571428571428571,65.54621848739497,7.247899159663866
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065
squash-unstored,5,6,61.666666666666664,80.0,18.33333333333334,56.666666666666664,-5.000000000000001,0.0,80.0,18.333333333333336
statlog-image,57,22,69.37229437229438,88.75442739079104,19.382133018496656,91.44037780401418,22.068083431719796,1.1818181818181819,81.02125147579692,11.64895710350256
synthetic-control,39,19,68.6842105263158,66.79824561403508,-1.8859649122807063,89.34210526315789,20.657894736842106,0.47368421052631576,74.47368421052632,5.789473684210525
tic-tac-toe,49,11,79.29557353641123,71.20418848167539,-8.091385054735845,91.14707282246549,11.851499286054258,2.4545454545454546,79.15278438838648,-0.14278914802475076
transplant,7,4,56.73076923076923,88.46153846153847,31.730769230769234,74.03846153846155,17.30769230769231,0.0,58.653846153846146,1.9230769230769207
vertebral-column-2clases,9,3,55.376344086021504,70.96774193548387,15.591397849462368,72.58064516129032,17.204301075268813,1.0,52.1505376344086,-3.2258064516129057
vertebral-column-3clases,9,6,51.34408602150537,69.35483870967742,18.01075268817205,59.13978494623657,7.795698924731184,0.5,63.97849462365591,12.634408602150538
wall-following,41,21,65.5623936100563,95.94954388721575,30.387150277159435,96.30745056959539,30.745056959539085,0.19047619047619047,91.25310985989263,25.69071624983632
wine,9,7,64.89795918367346,62.0408163265306,-2.857142857142858,91.83673469387756,26.938775510204085,0.42857142857142855,71.0204081632653,6.122448979591838
zoo,15,9,67.22222222222223,75.0,7.777777777777778,90.0,22.77777777777778,0.4444444444444444,81.11111111111111,13.88888888888889
TOTAL,30.21395348837209,7.962962962962963,63.738257216507904,76.87693576634298,13.13867854983509,83.23352923592046,19.49527201941256,0.9,77.29196818377511,13.553710967267204
