name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL_Paths_After average wasted effort,STAT_BARINEL_Paths_After average fix accuracy,STAT_BARINEL_Paths_After average fix accuracy increase,STAT_BARINEL_Paths_Difference average wasted effort,STAT_BARINEL_Paths_Difference average fix accuracy,STAT_BARINEL_Paths_Difference average fix accuracy increase
acute-inflammation,7,8,31.25,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,0.75,85.41666666666666,10.9375,0.375,89.0625,14.583333333333336
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.055555555555554,0.6666666666666666,94.44444444444444,36.11111111111111,0.0,94.44444444444444,36.11111111111111
analcatdata_boxing1,33,4,31.25,70.83333333333334,13.54166666666667,79.16666666666666,21.875,0.75,58.333333333333336,1.0416666666666674,0.25,62.49999999999999,5.208333333333332
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,0.0,92.3076923076923,43.269230769230774,0.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.910614525139664,89.9441340782123,51.17318435754189,0.4,88.37988826815642,49.60893854748603,0.5,73.63128491620111,34.860335195530716
audiology-std,43,8,36.84210526315789,48.71794871794872,0.0,60.256410256410255,11.538461538461538,3.75,39.42307692307692,-9.294871794871794,2.625,47.43589743589743,-1.2820512820512822
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,90.15486725663717,36.946902654867266,0.0,90.15486725663717,36.946902654867266
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.0,82.0,22.0,0.0,56.5,-3.499999999999999
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725668,96.23893805309734,22.56637168141593,1.5,67.69911504424779,-5.973451327433627,1.0,67.47787610619469,-6.194690265486724
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.0,92.80575539568345,59.71223021582735,0.0,92.80575539568345,59.71223021582735
caradiotocography10clases,39,12,24.882075471698112,69.62745098039215,15.843137254901967,67.92156862745098,14.137254901960786,2.8333333333333335,65.80392156862744,12.019607843137257,1.1666666666666667,59.92156862745099,6.137254901960785
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470588,20.76470588235294,4.0,78.0,7.235294117647061,1.75,72.82352941176471,2.058823529411766
chatfield_4,5,4,28.260869565217387,78.72340425531915,4.255319148936171,89.36170212765958,14.893617021276597,0.0,80.85106382978724,6.382978723404259,0.0,80.85106382978724,6.382978723404259
chscase_vine1,9,3,40.0,40.0,3.552713678800501e-15,60.0,20.0,0.0,60.0,20.0,0.0,66.66666666666667,26.666666666666668
credit-approval,5,4,25.000000000000007,84.05797101449275,23.188405797101446,67.02898550724638,6.159420289855072,0.0,84.05797101449275,23.188405797101446,0.0,84.05797101449275,23.188405797101446
dermatology,17,13,37.820512820512825,85.98524762908325,26.132771338250784,90.62170706006324,30.76923076923077,0.5384615384615384,77.87144362486828,18.01896733403583,0.38461538461538464,67.54478398314016,7.692307692307694
diggle_table_a2,3,5,36.774193548387096,93.87096774193549,29.67741935483871,85.80645161290322,21.612903225806445,0.0,83.87096774193547,19.67741935483871,0.0,64.19354838709677,0.0
echocardiogram,3,2,42.30769230769231,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846
ecoli,11,7,32.467532467532465,67.16417910447761,15.138592750533054,76.33262260127933,24.307036247334754,1.1428571428571428,66.09808102345417,14.072494669509597,0.8571428571428571,59.48827292110874,7.462686567164178
elusage,7,3,26.66666666666667,45.45454545454546,-9.090909090909092,66.66666666666667,12.121212121212123,0.0,72.72727272727273,18.181818181818183,0.0,66.66666666666667,12.121212121212123
energy-y1,59,9,27.631578947368425,89.54248366013074,21.71387073347858,89.54248366013073,21.713870733478576,3.3333333333333335,73.05737109658679,5.228758169934641,1.4444444444444444,69.0631808278867,1.2345679012345687
energy-y2,57,9,24.26900584795321,86.9281045751634,24.909222948438632,91.06753812636167,29.04865649963689,2.3333333333333335,78.21350762527233,16.19462599854757,1.0,67.82861292665214,5.809731299927381
