drift description,drifted features types,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,STAT_SFLDT faulty nodes indicies,STAT_SFLDT faulty features,STAT_SFLDT wasted effort,STAT_SFLDT fix accuracy,STAT_SFLDT fix accuracy increase,STAT_BARINEL_Paths_After faulty nodes indicies,STAT_BARINEL_Paths_After faulty features,STAT_BARINEL_Paths_After wasted effort,STAT_BARINEL_Paths_After fix accuracy,STAT_BARINEL_Paths_After fix accuracy increase
acute-inflammation__NumericFeature[f6;-2std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,5,target,4,95.83333333333334,8.333333333333337,6,target,0,87.5,0.0
acute-inflammation__NumericFeature[f6;-1std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,5,target,4,95.83333333333334,8.333333333333337,6,target,0,87.5,0.0
acute-inflammation__NumericFeature[f5;-2std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,87.5,20.833333333333336,6,target,4,66.66666666666666,0.0,4,target,0,66.66666666666666,0.0
acute-inflammation__NumericFeature[f5;-1std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,100.0,33.333333333333336,6,target,4,66.66666666666666,0.0,4,target,0,66.66666666666666,0.0
acute-inflammation__NumericFeature[f5;+1std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,2,f5,0,100.0,12.5,3,f6,1,87.5,0.0
acute-inflammation__NumericFeature[f5;+2std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,2,f5,0,100.0,12.5,3,f6,1,87.5,0.0
acute-inflammation__NumericFeature[f4;-2std],numeric,7,45.83333333333333,70.83333333333334,25.000000000000007,45.83333333333333,0.0,0,f4,0,100.0,54.16666666666667,2,f5,1,45.83333333333333,0.0
acute-inflammation__NumericFeature[f4;+2std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,66.66666666666666,0.0,5,target,4,87.5,20.833333333333336,"4, 5","target, target",2,87.5,20.833333333333336
acute-nephritis__NumericFeature[f1;-2std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,79.16666666666666,20.833333333333325,0,f1,0,100.0,41.666666666666664,2,f3,1,58.333333333333336,0.0
acute-nephritis__NumericFeature[f1;-1std],numeric,5,83.33333333333334,91.66666666666666,8.333333333333325,100.0,16.666666666666664,1,target,0,83.33333333333334,0.0,2,f3,1,83.33333333333334,0.0
acute-nephritis__NumericFeature[f3;-2std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,50.0,-8.333333333333337,3,target,2,91.66666666666666,33.33333333333333,"1, 3","target, target",1,91.66666666666666,33.33333333333333
acute-nephritis__NumericFeature[f3;-1std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,100.0,41.666666666666664,3,target,2,91.66666666666666,33.33333333333333,"1, 3","target, target",1,91.66666666666666,33.33333333333333
analcatdata_boxing1__NumericFeature[Round;-1std],numeric,33,58.333333333333336,70.83333333333334,12.5,83.33333333333334,25.0,3,target,6,75.0,16.666666666666664,1,target,0,58.333333333333336,0.0
analcatdata_boxing1__NumericFeature[Round;-0.5std],numeric,33,66.66666666666666,70.83333333333334,4.166666666666674,75.0,8.333333333333337,29,target,6,66.66666666666666,0.0,1,target,0,66.66666666666666,0.0
analcatdata_boxing1__NumericFeature[Round;+0.5std],numeric,33,37.5,70.83333333333334,33.333333333333336,79.16666666666666,41.666666666666664,3,target,6,50.0,12.5,1,target,0,37.5,0.0
analcatdata_boxing1__NumericFeature[Round;+1std],numeric,33,62.5,70.83333333333334,8.333333333333337,83.33333333333334,20.833333333333336,10,target,6,62.5,0.0,1,target,0,62.5,0.0
analcatdata_boxing1__NumericFeature[Round;+2std],numeric,33,62.5,70.83333333333334,8.333333333333337,79.16666666666666,16.666666666666664,32,target,6,66.66666666666666,4.1666666666666625,1,target,0,62.5,0.0
"analcatdata_boxing1__CategoricalFeature[Official=1;p=0,5]",binary,33,75.0,70.83333333333334,-4.1666666666666625,83.33333333333334,8.333333333333337,3,target,23,70.83333333333334,-4.1666666666666625,1,target,1,75.0,0.0
"analcatdata_boxing1__CategoricalFeature[Official=1;p=0,7]",binary,33,70.83333333333334,70.83333333333334,0.0,83.33333333333334,12.5,3,target,23,66.66666666666666,-4.166666666666674,1,target,1,70.83333333333334,0.0
"analcatdata_boxing1__CategoricalFeature[Official=1;p=0,9]",binary,33,66.66666666666666,70.83333333333334,4.166666666666674,83.33333333333334,16.666666666666675,3,target,23,62.5,-4.1666666666666625,1,target,1,66.66666666666666,0.0
analcatdata_lawsuit__NumericFeature[CAP;-2std],numeric,3,30.76923076923077,94.23076923076923,63.46153846153846,78.84615384615384,48.07692307692307,1,target,0,92.3076923076923,61.53846153846154,2,target,0,30.76923076923077,0.0
analcatdata_lawsuit__NumericFeature[CAP;-1std],numeric,3,67.3076923076923,94.23076923076923,26.923076923076916,86.53846153846155,19.23076923076923,1,target,0,92.3076923076923,25.0,2,target,0,67.3076923076923,0.0
analcatdata_lawsuit__NumericFeature[CAP;-0.5std],numeric,3,82.6923076923077,94.23076923076923,11.538461538461542,92.3076923076923,9.615384615384626,1,target,0,92.3076923076923,9.615384615384626,2,target,0,82.6923076923077,0.0
annealing__NumericFeature[f22;-2std],numeric,27,69.27374301675978,84.35754189944134,15.083798882681565,92.17877094972067,22.905027932960888,16,f22,12,95.53072625698324,26.256983240223462,"19, 9","f2, f27",2,68.15642458100558,-1.1173184357541999
annealing__NumericFeature[f22;-1std],numeric,27,69.27374301675978,84.35754189944134,15.083798882681565,90.5027932960894,21.22905027932961,16,f22,12,95.53072625698324,26.256983240223462,"19, 9","f2, f27",2,68.15642458100558,-1.1173184357541999
annealing__NumericFeature[f12;-2std],numeric,27,69.27374301675978,84.35754189944134,15.083798882681565,92.17877094972067,22.905027932960888,14,f12,0,95.53072625698324,26.256983240223462,"14, 21","f12, target",1,93.85474860335195,24.581005586592177
annealing__NumericFeature[f12;-1std],numeric,27,69.27374301675978,84.35754189944134,15.083798882681565,92.17877094972067,22.905027932960888,14,f12,0,95.53072625698324,26.256983240223462,"14, 21","f12, target",1,93.85474860335195,24.581005586592177
annealing__NumericFeature[f4;+0.5std],numeric,27,21.22905027932961,84.35754189944134,63.12849162011174,77.09497206703911,55.865921787709496,23,target,21,86.03351955307262,64.80446927374301,"23, 24","target, f4",1,84.91620111731844,63.687150837988824
annealing__NumericFeature[f4;+1std],numeric,27,21.22905027932961,84.35754189944134,63.12849162011174,92.17877094972067,70.94972067039106,23,target,8,86.03351955307262,64.80446927374301,1,target,1,21.22905027932961,0.0
annealing__NumericFeature[f4;+2std],numeric,27,21.22905027932961,84.35754189944134,63.12849162011174,91.62011173184358,70.39106145251397,2,f4,13,91.62011173184358,70.39106145251397,1,target,1,21.22905027932961,0.0
annealing__NumericFeature[f1;-2std],numeric,27,12.849162011173185,75.97765363128491,63.128491620111724,90.5027932960894,77.6536312849162,1,target,0,77.6536312849162,64.80446927374301,6,f26,1,12.849162011173185,0.0
annealing__NumericFeature[f1;-1std],numeric,27,12.849162011173185,75.97765363128491,63.128491620111724,90.5027932960894,77.6536312849162,1,target,0,77.6536312849162,64.80446927374301,6,f26,1,12.849162011173185,0.0
annealing__NumericFeature[f1;-0.5std],numeric,27,21.22905027932961,84.35754189944134,63.12849162011174,90.5027932960894,69.27374301675978,1,target,0,78.2122905027933,56.98324022346368,6,f26,1,21.22905027932961,0.0
