name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL_Paths_After average wasted effort,STAT_BARINEL_Paths_After average fix accuracy,STAT_BARINEL_Paths_After average fix accuracy increase,STAT_BARINEL_Paths_Difference average wasted effort,STAT_BARINEL_Paths_Difference average fix accuracy,STAT_BARINEL_Paths_Difference average fix accuracy increase
acute-inflammation,7,8,31.250000000000004,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,0.75,85.41666666666666,10.9375,0.75,85.41666666666666,10.9375
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.05555555555555,0.6666666666666666,94.44444444444444,36.11111111111111,0.0,94.44444444444444,36.11111111111111
analcatdata_boxing1,33,4,31.25,70.83333333333334,13.54166666666667,79.16666666666666,21.875,0.0,63.541666666666664,6.25,0.0,63.541666666666664,6.25
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,0.0,92.3076923076923,43.269230769230774,0.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.91061452513967,89.94413407821231,51.17318435754189,0.6,74.41340782122904,35.64245810055865,0.7,61.1731843575419,22.40223463687151
audiology-std,43,8,36.84210526315789,48.71794871794872,-6.661338147750939e-16,60.256410256410255,11.538461538461538,0.5,65.06410256410257,16.346153846153843,0.5,65.06410256410257,16.346153846153843
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514,0.0,92.14601769911505,38.93805309734514
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.0,82.0,22.0,0.0,82.0,22.0
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725664,96.23893805309734,22.56637168141593,0.75,78.09734513274336,4.424778761061946,0.5,84.070796460177,10.398230088495577
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.0,92.80575539568345,59.71223021582735,0.0,92.80575539568345,59.71223021582735
caradiotocography10clases,39,12,24.882075471698116,69.62745098039215,15.843137254901963,67.92156862745098,14.137254901960786,2.25,66.07843137254902,12.294117647058826,0.5,68.41176470588236,14.62745098039216
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470588,20.764705882352942,4.0,76.82352941176471,6.058823529411764,0.75,72.70588235294117,1.9411764705882377
