after window size,drifts count,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,STAT wasted effort,STAT fix accuracy,STAT fix accuracy increase,SFLDT wasted effort,SFLDT fix accuracy,SFLDT fix accuracy increase,STAT_SFLDT wasted effort,STAT_SFLDT fix accuracy,STAT_SFLDT fix accuracy increase
5%,140,37.22661135161136,48.21361852478371,-16.104152124204727,76.29456610174596,11.976795452757479,5.621428571428571,68.28146184580027,3.9636911968118236,3.914285714285714,67.79602256128247,3.478251912293987,3.9357142857142855,70.82608279522245,6.508312146233988
10%,225,31.002789134788706,52.52522961613546,-11.330036454004135,75.73070743351118,11.875441363371639,5.235555555555556,67.48479856506884,3.6295324949293026,3.4355555555555557,70.72968933124326,6.874423261103745,3.631111111111111,72.87809812678486,9.022832056645294
15%,266,31.652387584389913,59.104912854786456,-4.626990021264492,78.21793059426864,14.486027718217626,4.7481203007518795,67.45821210890402,3.7263092328529033,3.699248120300752,71.93840249659128,8.20649962054027,3.218045112781955,73.6638494332191,9.931946557167976
20%,292,31.56702085446301,59.640932113457616,-3.539585686815949,78.82522071001783,15.644702909744298,4.688356164383562,67.38741816498961,4.206900364716043,3.9178082191780823,71.69276858816632,8.51225078789285,3.414383561643836,72.84224105063875,9.661723250365174
25%,307,31.080301311029203,64.10399078009067,1.6933170232804535,79.43374695837132,17.023073201561093,4.478827361563518,66.912646428588,4.501972671777839,3.547231270358306,70.75719743736221,8.346523680552096,2.986970684039088,72.59319937995359,10.182525623143412
30%,313,31.01024482555718,64.95480964192319,2.582196865050557,78.41352337964261,16.040910602769998,4.492012779552716,67.26163479706058,4.889022020187932,3.5463258785942493,71.9757983635287,9.603185586656064,3.0415335463258786,73.14630645670287,10.773693679830181
35%,317,30.74285406737859,66.1071082731139,4.0257122978302995,80.24349560085568,18.162099625571916,4.485804416403785,68.25679691630857,6.175400941024829,3.6529968454258674,71.79448619496696,9.713090219683215,3.1608832807570977,73.92646319556748,11.845067220283708
40%,331,30.842690364072322,67.82444465329519,6.147890190491169,80.97129886450992,19.29474440170594,4.1057401812688825,68.27849925136225,6.601944788558096,3.5438066465256797,71.90638483552405,10.229830372719901,2.806646525679758,73.52927138291292,11.852716920108822
45%,342,30.13723446836631,68.32865186288161,6.303248541548737,81.11694874686394,19.091545425530846,3.973684210526316,68.3940922669355,6.368688945602354,3.754385964912281,72.2899496563909,10.264546335057732,2.804093567251462,74.2747502899727,12.249346968639534
50%,356,30.067594604956412,69.73706982382154,7.51154490789668,81.23126588790373,19.005740971978828,3.9297752808988764,68.49503803844321,6.269513122518286,3.8202247191011236,72.69563406347918,10.470109147554174,2.7247191011235956,73.8754892666774,11.6499643507525
55%,352,30.456671645989136,72.11942167173339,9.753037243143046,81.1120104981978,18.74562606960741,3.940340909090909,69.04073160456001,6.674347175969629,3.6818181818181817,72.94381605963753,10.577431631047135,2.741477272727273,74.64980080357873,12.283416374988347
60%,369,29.7620945686444,72.86713469163891,10.190198214522677,81.72382151259526,19.046885035478994,3.875338753387534,68.43563153247236,5.758695055356046,3.7127371273712737,73.08989267637587,10.41295619925951,2.7560975609756095,74.18762898815167,11.510692511035332
65%,366,29.59695321831426,74.41746619652147,11.670693317995115,82.8704940988988,20.123721220372563,3.7841530054644807,68.17920199627912,5.432429117752831,3.7131147540983607,73.14855984322192,10.40178696469559,2.6748633879781423,74.15763300397737,11.410860125451054
70%,368,29.26158990489332,75.11911353932068,12.492739636464792,82.89838760070766,20.272013697851797,3.8125,68.80262721249274,6.176253309636851,3.6385869565217392,73.11661694560122,10.490243042745238,2.6793478260869565,74.57825083661996,11.951876933764002
75%,367,29.119903074987228,75.4006709039778,13.072414674026382,83.49734853154534,21.169092301593874,3.899182561307902,67.9700377567312,5.641781526779783,3.4168937329700273,72.65703114123339,10.328774911281895,2.7356948228882834,73.97437816901532,11.646121939063883
80%,368,28.603730753075073,76.27931715226056,13.769082166762642,83.33324961892463,20.823014633426688,3.953804347826087,67.98749984016267,5.477264854664785,3.5190217391304346,72.68744165455566,10.17720666905768,2.7934782608695654,74.32167267517897,11.811437689681053
85%,362,29.194184270765316,77.24081102473276,14.977436630283567,83.42780273577056,21.164428341321347,3.9696132596685083,68.52862272393145,6.265248329482273,3.5138121546961325,72.76882362150751,10.505449227058223,2.773480662983425,74.7445377090194,12.481163314570185
90%,368,29.276902018640676,77.52779904393073,15.197807137044663,83.28781378984256,20.95782188295663,3.932065217391304,68.58246464843438,6.252472741548375,3.529891304347826,72.75704955623158,10.42705764934547,2.755434782608696,74.8502017930843,12.520209886198243
95%,379,28.7553631453387,78.26892704989224,15.647060916189197,84.36016081757265,21.738294683869604,3.8839050131926123,69.43547740931909,6.813611275616064,3.2981530343007917,72.61521673716412,9.993350603461002,2.7308707124010554,75.16493131679412,12.543065183091063
100%,383,28.932256015197286,77.62134347066565,15.121514437252452,84.02157716511324,21.521748131700033,3.887728459530026,69.25026061696175,6.750431583548586,3.642297650130548,72.38836908656842,9.888540053155209,2.715404699738903,75.01354458341137,12.513715549998192
