@relation sea

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
%class
@attribute cl {0,1}

@data

4.551125386,8.715686657,5.348319297,0
4.569528788,9.455497185,2.354468491,0
0.878607722,0.919708406,4.903802179,1
8.395621554,5.5125512,3.136420989,0
4.948680162,3.101138616,0.80653937,1
3.233510511,8.420001569,0.594511075,1
3.750892598,9.629479711,3.101362513,0
0.091548682,1.212874211,0.74951513,0
9.176587083,5.375010516,2.10657125,0
0.247282923,0.678857888,6.495264566,1
9.941354727,6.15804236,0.81400896,0
1.57178523,8.616009376,6.951298314,0
7.388108096,0.722885502,4.59472946,0
9.864142853,7.860225521,1.379949237,0
9.843946209,9.508985936,2.151437397,0
4.825288905,1.275606423,6.878122204,1
7.669836953,7.581988801,0.035104862,0
4.726768728,3.708945786,7.78310985,0
7.198537231,8.947420171,9.752130113,1
3.514929463,2.235524414,1.619757546,1
9.867195521,7.840484845,4.621678697,0
3.99261622,3.59716464,2.292282701,1
5.089253295,3.669878765,8.555155179,0
5.886509219,3.520311168,4.537872099,0
3.137715555,7.617734776,4.083334141,0
0.550191432,5.543328016,0.196718263,1
8.748275778,8.929685055,6.725189232,0
1.119605776,7.76159607,2.197801845,0
9.831358411,5.884228321,2.419314177,1
5.010285094,8.123176671,1.137389883,0
3.641872944,8.947449039,4.475005002,0
2.736345487,5.762297994,1.186474059,1
4.966461272,7.729418906,3.874256512,0
2.580090228,1.179396517,2.654695142,1
8.474975828,4.850877387,0.904240039,0
8.071221758,9.582156777,8.837062516,0
1.860927355,8.280822518,8.084382832,0
5.119118893,6.979915249,2.86080553,1
7.354887893,4.467264622,7.132750996,0
1.956356121,5.48673675,4.643622796,1
8.221433546,4.81212128,5.132117947,0
4.030261337,3.309857261,6.995521724,1
1.22259121,9.181541288,6.74319135,0
6.090102175,3.006731425,6.760475504,0
0.812299862,9.71021045,6.461118746,0
3.575167728,3.835525815,2.153991228,1
5.495175442,0.231286213,2.616845609,1
0.532208945,8.93731615,0.24849848,0
6.287491874,1.570962116,9.983518504,1
0.516085292,0.58692335,3.322255396,1
4.233196931,6.340332228,1.342145299,1
0.075313468,1.7668384,8.733248027,1
1.881774939,3.024942678,3.965647081,1
8.620254862,1.636266012,9.735449789,0
2.152919938,5.939976274,1.557644046,0
0.805928571,7.137770049,2.570964706,1
0.000333889,5.392393102,1.854236605,1
7.421043412,4.180621837,4.965863045,0
0.147044072,6.233103327,9.721296466,1
0.895491819,6.738421115,6.062275535,1
5.335731199,4.329374017,5.177064352,0
9.999601862,8.203158788,0.415748274,0
8.989819235,1.127979466,0.852082525,0
4.088448086,4.761926133,5.658154853,0
5.805938804,2.238262415,5.416306373,0
8.079529694,1.174390863,2.649761026,0
5.703277254,3.999181983,4.946597749,0
2.533184126,0.5145698,8.092132505,1
3.557261437,7.977845425,1.700028395,0
1.225028167,3.114901129,7.795498092,1
1.60736448,8.039824026,6.438823157,1
7.445648611,5.828275542,4.248480354,0
5.69399761,2.863795171,5.868255291,0
7.062560751,3.522409197,4.401156194,0
4.666927686,6.010075277,2.880795019,0
9.310345316,9.01461701,2.348107884,0
8.870223107,6.574401494,4.360068714,0
5.443914892,6.801421134,3.742210243,0
6.030003128,2.77398744,7.555404637,0
5.1932986,5.498820561,5.829899413,0
5.186158255,5.373493537,0.969729827,0
0.750622153,3.973431717,1.223791514,1
1.28455171,7.695615248,3.312199422,0
8.689446134,1.163748221,5.204276441,0
0.457764934,7.822683655,6.590275024,0
8.485284349,6.090860859,4.227113024,0
2.67747514,7.596616639,6.995429574,0
6.580218102,6.435247348,7.736980161,1
6.215496156,4.501014861,2.427005774,0
6.290769624,3.761745466,6.885277847,0
3.298880215,0.415861674,3.63555361,1
3.881428976,1.627246269,6.638990152,1
0.374378468,8.884204069,1.410704177,0
1.258436655,1.219657989,7.143803832,1
9.482302761,7.808690069,2.391307457,0
8.557963361,9.871435601,1.023345692,0
8.18705767,7.206643386,7.353518998,0
7.722021265,0.084113001,3.048084742,1
2.803673083,6.986621398,2.409218492,0
7.403940226,6.210232197,5.707188265,1
6.748514952,9.278616299,8.628815184,0
4.741461305,8.004748523,6.475564153,1
1.834032918,4.150557804,2.791402331,1
9.29910457,8.619256773,7.802736802,0
0.424357975,9.732938177,7.311443791,1
8.174439501,3.283607686,6.144506483,0
6.080495608,8.660631419,4.082479507,0
1.683385627,4.643515653,1.265855739,1
2.894939,3.30919154,5.102245452,1
2.331853365,3.24516665,6.392728742,1
9.175733418,6.991163688,1.065500403,0
6.887014476,9.482441957,0.684141353,0
8.321166375,4.288236813,8.155846744,0
8.006720996,6.120171866,7.937688889,0
7.659976438,0.741868797,7.099666472,0
2.875137097,8.834695724,6.2911095,0
7.103625068,6.815065866,8.950634135,0
1.014292384,3.478769001,6.917507114,1
2.124515379,6.978810816,5.517239002,1
8.888772458,8.747582858,8.791712042,0
6.958221054,8.802237603,5.786241568,1
3.190181641,2.887164744,4.692360551,1
8.184890941,5.927204654,7.943445585,0
9.190279568,9.848902517,7.010063148,0
0.153275996,7.436826903,5.878718745,1
6.921979843,2.87730781,2.247608741,0
5.920990831,2.164220416,0.999911856,0
7.781814585,7.314306865,0.6230411,0
1.653735676,3.451345947,2.173761304,1
1.25826083,9.492876537,6.167402555,0
5.217069224,8.950121677,2.217091348,1
2.869427809,2.763782079,9.625303311,1
7.709681191,8.892246834,2.309083803,1
7.334538324,4.614152979,7.030872194,0
3.436529672,2.27117618,6.519185175,1
7.859845567,3.656585201,8.246044793,0
4.671439367,0.319289948,7.748307991,1
4.20182304,8.217346316,9.314289282,0
2.50313301,5.382556619,6.145728645,1
9.988062004,4.87021585,2.778131805,0
6.224971159,7.55502238,5.346773736,0
3.290061427,3.806548386,2.163041799,1
2.148656624,4.069970145,0.272889703,1
0.944568458,8.720093207,4.937191693,1
3.40570019,9.49484078,0.335283975,0
1.952297483,5.626849855,1.923248347,0
4.030348362,4.164528971,1.99061297,0
4.237188796,5.544437133,4.8793277,0
6.206750852,8.613392111,4.222865905,0
2.290390513,6.038498471,3.858274065,0
3.104002079,6.51768426,8.215227065,0
5.519254969,6.716321223,8.241126358,1
6.286946058,6.210508704,4.413616521,0
8.191424998,0.098174695,6.005732649,0
9.057061754,1.51675778,5.58027619,0
1.761495669,1.762238447,6.224770085,1
6.395944439,6.683601286,1.889228337,0
1.318588581,1.971722093,5.213295587,1
4.26993582,7.152958489,7.324417068,0
3.793689215,9.935053117,6.024357107,0
0.258395333,9.813835701,1.057317085,1
2.419436243,3.396613901,5.487113741,1
2.121588551,8.234426857,9.009609392,0
2.317826593,5.488240334,8.837887826,1
8.088308632,7.392343403,7.028482295,0
