name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,FuzzySFLDT average wasted effort,FuzzySFLDT average fix accuracy,FuzzySFLDT average fix accuracy increase,STAT_FuzzySFLDT average wasted effort,STAT_FuzzySFLDT average fix accuracy,STAT_FuzzySFLDT average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,0.75,79.16666666666667,4.687500000000001,2.5,87.5,13.020833333333336
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,0.75,77.08333333333334,12.499999999999996,1.0,77.08333333333334,12.499999999999996
analcatdata_boxing1,33,8,62.5,70.83333333333336,8.333333333333337,81.25,18.750000000000004,13.875,64.58333333333333,2.083333333333333,12.375,65.10416666666666,2.604166666666666
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206,0.0,92.3076923076923,32.05128205128206
annealing,27,12,46.22905027932961,82.9608938547486,36.73184357541899,89.75791433891993,43.52886405959031,6.916666666666667,87.43016759776536,41.20111731843574,7.416666666666667,87.52327746741155,41.294227188081926
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307692,61.53846153846153,12.051282051282048,18.5,42.564102564102555,-6.9230769230769225,13.1,42.564102564102555,-6.9230769230769225
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,90.15486725663717,36.946902654867266,0.0,92.14601769911505,38.93805309734514
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,64.66666666666667,-2.3333333333333326,0.0,69.0,2.0000000000000004
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115043,29.911504424778762,14.4,61.5929203539823,-4.955752212389379,7.0,61.76991150442477,-4.7787610619469
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.5,78.41726618705036,45.32374100719424,0.0,79.85611510791367,46.76258992805756
caradiotocography10clases,39,15,55.6078431372549,69.64705882352942,14.039215686274511,70.22745098039215,14.619607843137258,14.733333333333333,60.87843137254902,5.2705882352941185,13.466666666666667,59.85882352941177,4.250980392156863
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.39215686274508,18.43137254901961,32.5,76.07843137254902,4.11764705882353,16.333333333333332,72.66666666666666,0.7058823529411775
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765958,14.893617021276597,0.75,80.85106382978724,6.382978723404259,0.25,80.85106382978724,6.382978723404259
chscase_vine1,9,5,40.0,40.0,3.197442310920451e-15,58.0,18.0,0.4,54.0,14.0,2.0,64.0,24.0
credit-approval,5,6,68.59903381642512,84.05797101449275,15.458937198067632,71.01449275362317,2.4154589371980677,1.3333333333333333,69.20289855072463,0.6038647342995164,1.3333333333333333,72.70531400966183,4.106280193236715
dermatology,17,13,59.85247629083245,85.98524762908325,26.132771338250787,90.62170706006322,30.769230769230774,3.0,66.8071654373024,6.954689146469969,3.4615384615384617,67.01791359325605,7.165437302423606
