name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_BARINEL_Paths_After average wasted effort,STAT_BARINEL_Paths_After average fix accuracy,STAT_BARINEL_Paths_After average fix accuracy increase,STAT_BARINEL_Paths_Difference average wasted effort,STAT_BARINEL_Paths_Difference average fix accuracy,STAT_BARINEL_Paths_Difference average fix accuracy increase
acute-inflammation,7,8,31.250000000000004,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,0.875,81.24999999999999,6.770833333333334,0.375,86.97916666666666,12.5
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.055555555555554,0.6666666666666666,72.22222222222223,13.888888888888888,0.0,100.0,41.666666666666664
analcatdata_boxing1,33,4,31.25,70.83333333333334,13.54166666666667,79.16666666666666,21.875,1.0,59.375,2.0833333333333344,0.25,62.49999999999999,5.208333333333332
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,0.0,92.3076923076923,43.269230769230774,0.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.91061452513967,89.94413407821231,51.17318435754189,1.1,86.48044692737429,47.70949720670391,0.5,73.63128491620111,34.860335195530716
audiology-std,43,8,36.84210526315789,48.71794871794872,-2.220446049250313e-16,60.256410256410255,11.538461538461538,3.5,38.14102564102564,-10.576923076923077,2.125,47.75641025641025,-0.9615384615384615
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,90.15486725663717,36.946902654867266,0.0,90.15486725663717,36.946902654867266
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.0,95.0,35.0,0.0,69.5,9.5
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725668,96.23893805309734,22.56637168141593,1.5,74.11504424778761,0.4424778761061958,1.0,74.33628318584071,0.6637168141592955
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.0,78.41726618705036,45.32374100719424,0.0,78.41726618705036,45.32374100719424
caradiotocography10clases,39,12,24.882075471698116,69.62745098039215,15.843137254901963,67.92156862745098,14.137254901960787,3.5,57.431372549019606,3.647058823529413,2.25,59.70588235294118,5.921568627450982
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470588,20.764705882352942,4.0,77.6470588235294,6.882352941176471,3.0,77.11764705882354,6.352941176470592
chatfield_4,5,4,28.260869565217387,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.0,80.85106382978724,6.382978723404259,0.0,80.85106382978724,6.382978723404259
chscase_vine1,9,3,40.0,40.0,3.552713678800501e-15,60.0,20.0,0.0,60.0,20.0,0.0,66.66666666666667,26.666666666666668
credit-approval,5,4,25.000000000000004,84.05797101449275,23.18840579710145,67.02898550724638,6.159420289855072,0.25,76.63043478260869,15.76086956521739,0.25,76.63043478260869,15.76086956521739
dermatology,17,13,37.820512820512825,85.98524762908323,26.132771338250787,90.62170706006324,30.769230769230774,0.6923076923076923,66.5964172813488,6.7439409905163314,0.46153846153846156,67.33403582718651,7.481559536354057
diggle_table_a2,3,5,36.774193548387096,93.87096774193549,29.67741935483871,85.80645161290322,21.612903225806445,0.0,83.87096774193547,19.67741935483871,0.0,64.19354838709677,0.0
echocardiogram,3,2,42.30769230769231,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,78.84615384615384,28.846153846153847,0.0,78.84615384615384,28.846153846153847
ecoli,11,7,32.46753246753247,67.16417910447761,15.138592750533054,76.33262260127933,24.307036247334757,1.2857142857142858,62.47334754797441,10.447761194029852,0.8571428571428571,59.48827292110874,7.462686567164179
